Pos.,No.,Driver,Team,Time,Grid
1,8,Oliver Bearman,Prema Racing,1:52.652,1
2,4,Enzo Fittipaldi,Rodin Carlin,1:52.664,2
3,5,Théo Pourchaire,ART Grand Prix,1:52.705,3
4,7,Frederik Vesti,Prema Racing,1:52.723,4
5,1,Dennis Hauger,MP Motorsport,1:52.878,5
6,2,Jehan Daruvala,MP Motorsport,1:53.066,6
7,9,Jak Crawford,Hitech Pulse-Eight,1:53.139,7
8,6,Victor Martins,ART Grand Prix,1:53.213,8
9,3,Zane Maloney,Rodin Carlin,1:53.297,9
10,22,Richard Verschoor,Van Amersfoort Racing,1:53.459,10
11,25,Ralph Boschung,Campos Racing,1:53.637,11
12,20,Roman Staněk,Trident,1:53.639,12
13,12,Arthur Leclerc,DAMS,1:53.750,13
14,24,Kush Maini,Campos Racing,1:53.920,14
15,23,Juan Manuel Correa,Van Amersfoort Racing,1:53.965,15
16,14,Jack Doohan,Invicta Virtuosi Racing,1:54.150,16
17,11,Ayumu Iwasa,DAMS,1:54.217,17
18,10,Isack Hadjar,Hitech Pulse-Eight,1:54.291,18
19,21,Clément Novalak,Trident,1:54.409,19
20,16,Roy Nissany,PHM RacingbyCharouz,1:54.683,20
21,15,Amaury Cordeel,Invicta Virtuosi Racing,1:55.548,21
—,17,Brad Benavides,PHM RacingbyCharouz,2:25.091,22
