Pos.,No.,Driver,Team,Time,Grid
1,9,Jak Crawford,Hitech Pulse-Eight,1:21.210,1
2,1,Dennis Hauger,MP Motorsport,1:21.244,2
3,7,Frederik Vesti,Prema Racing,1:21.322,3
4,3,Zane Maloney,Rodin Carlin,1:21.337,4
5,14,Jack Doohan,Invicta Virtuosi Racing,1:21.358,5
6,8,Oliver Bearman,Prema Racing,1:21.417,6
7,23,Juan Manuel Correa,Van Amersfoort Racing,1:21.437,7
8,6,Victor Martins,ART Grand Prix,1:21.442,8
9,10,Isack Hadjar,Hitech Pulse-Eight,1:21.459,9
10,5,Théo Pourchaire,ART Grand Prix,1:21.497,10
11,24,Kush Maini,Campos Racing,1:21.551,11
12,11,Ayumu Iwasa,DAMS,1:21.598,12
13,21,Clément Novalak,Trident,1:21.599,13
14,22,Richard Verschoor,Van Amersfoort Racing,1:21.617,14
15,25,Ralph Boschung,Campos Racing,1:21.703,15
16,2,Jehan Daruvala,MP Motorsport,1:21.725,16
17,12,Arthur Leclerc,DAMS,1:21.945,17
18,15,Amaury Cordeel,Invicta Virtuosi Racing,1:21.961,18
19,4,Enzo Fittipaldi,Rodin Carlin,1:22.002,19
20,20,Roman Staněk,Trident,1:22.010,20
21,16,Roy Nissany,PHM RacingbyCharouz,1:22.773,21
22,17,Josh Mason,PHM RacingbyCharouz,1:23.763,22
