Pos.,No.,Driver,Team,Time,Grid
1,6,Victor Martins,ART Grand Prix,1:39.832,1
2,24,Kush Maini,Campos Racing,1:39.945,2
3,11,Ayumu Iwasa,DAMS,1:39.952,3
4,14,Jack Doohan,Invicta Virtuosi Racing,1:39.957,4
5,8,Oliver Bearman,Prema Racing,1:39.989,5
6,4,Enzo Fittipaldi,Rodin Carlin,1:39.991,6
7,3,Zane Maloney,Rodin Carlin,1:40.001,7
8,5,Théo Pourchaire,ART Grand Prix,1:40.019,8
9,10,Isack Hadjar,Hitech Pulse-Eight,1:40.026,9
10,7,Frederik Vesti,Prema Racing,1:40.052,10
11,16,Roy Nissany,PHM RacingbyCharouz,1:40.135,11
12,12,Arthur Leclerc,DAMS,1:40.198,12
13,2,Jehan Daruvala,MP Motorsport,1:40.314,13
14,1,Dennis Hauger,MP Motorsport,1:40.368,14
15,9,Jak Crawford,Hitech Pulse-Eight,1:40.400,15
16,20,Roman Staněk,Trident,1:40.526,16
17,22,Richard Verschoor,Van Amersfoort Racing,1:40.561,17
18,25,Ralph Boschung,Campos Racing,1:40.815,18
19,17,Brad Benavides,PHM RacingbyCharouz,1:40.950,19
20,21,Clément Novalak,Trident,1:41.106,20
21,15,Amaury Cordeel,Invicta Virtuosi Racing,1:41.457,21
22,23,Juan Manuel Correa,Van Amersfoort Racing,1:42.084,22
