Pos.,No.,Driver,Team,Time,Grid
1,7,Frederik Vesti,Prema Racing,1:21.053,1
2,6,Victor Martins,ART Grand Prix,1:21.231,2
3,5,Théo Pourchaire,ART Grand Prix,1:21.105,3
4,14,Jack Doohan,Invicta Virtuosi Racing,1:21.432,4
5,3,Zane Maloney,Rodin Carlin,1:21.463,5
6,22,Richard Verschoor,Van Amersfoort Racing,1:21.639,6
7,9,Jak Crawford,Hitech Pulse-Eight,1:21.576,7
8,2,Jehan Daruvala,MP Motorsport,1:21.642,8
9,11,Ayumu Iwasa,DAMS,1:21.796,9
10,10,Isack Hadjar,Hitech Pulse-Eight,1:21.645,10
11,15,Amaury Cordeel,Invicta Virtuosi Racing,1:21.809,11
12,24,Kush Maini,Campos Racing,1:21.820,12
13,23,Juan Manuel Correa,Van Amersfoort Racing,1:21.835,13
14,4,Enzo Fittipaldi,Rodin Carlin,1:21.824,14
15,21,Clément Novalak,Trident,1:22.088,15
16,8,Oliver Bearman,Prema Racing,1:22.201,16
17,1,Dennis Hauger,MP Motorsport,1:22.097,17
18,16,Roy Nissany,PHM RacingbyCharouz,1:22.804,18
19,25,Ralph Boschung,Campos Racing,1:22.182,19
20,12,Arthur Leclerc,DAMS,1:23.340,20
21,17,Brad Benavides,PHM RacingbyCharouz,1:22.721,21
22,20,Roman Staněk,Trident,1:24.600,22
