Pos.,No.,Driver,Team,Time,Grid
1,5,Théo Pourchaire,ART Grand Prix,1:32.328,1
2,8,Oliver Bearman,Prema Racing,1:32.487,2
3,20,Roman Staněk,Trident,1:32.534,3
4,10,Isack Hadjar,Hitech Pulse-Eight,1:32.535,4
5,6,Victor Martins,ART Grand Prix,1:32.538,5
6,24,Kush Maini,Campos Racing,1:32.542,6
7,9,Jak Crawford,Hitech Pulse-Eight,1:32.557,7
8,7,Frederik Vesti,Prema Racing,1:32.599,8
9,22,Richard Verschoor,Van Amersfoort Racing,1:32.640,9
10,25,Ralph Boschung,Campos Racing,1:32.655,10
11,1,Dennis Hauger,MP Motorsport,1:32.749,11
12,12,Arthur Leclerc,DAMS,1:32.752,12
13,4,Enzo Fittipaldi,Rodin Carlin,1:32.809,13
14,14,Jack Doohan,Invicta Virtuosi Racing,1:32.848,14
15,11,Ayumu Iwasa,DAMS,1:32.883,15
16,2,Jehan Daruvala,MP Motorsport,1:33.120,16
17,16,Roy Nissany,PHM RacingbyCharouz,1:33.188,17
18,23,Juan Manuel Correa,Van Amersfoort Racing,1:33.210,18
19,15,Amaury Cordeel,Invicta Virtuosi Racing,1:33.269,19
20,3,Zane Maloney,Rodin Carlin,1:33.401,20
21,21,Clément Novalak,Trident,1:33.474,21
22,17,Josh Mason,PHM RacingbyCharouz,1:34.385,22
