Pos.,No.,Driver,Team,Time,Grid
1,8,Oliver Bearman,Prema Racing,1:23.546,1
2,4,Enzo Fittipaldi,Rodin Carlin,1:23.623,2
3,14,Jack Doohan,Invicta Virtuosi Racing,1:23.656,3
4,11,Ayumu Iwasa,DAMS,1:23.739,4
5,5,Théo Pourchaire,ART Grand Prix,1:23.739,5
6,1,Dennis Hauger,MP Motorsport,1:23.923,6
7,6,Victor Martins,ART Grand Prix,1:23.978,7
8,7,Frederik Vesti,Prema Racing,1:24.009,8
9,9,Jak Crawford,Hitech Pulse-Eight,1:24.069,9
10,15,Amaury Cordeel,Invicta Virtuosi Racing,1:24.087,10
11,23,Juan Manuel Correa,Van Amersfoort Racing,1:24.106,14
12,22,Richard Verschoor,Van Amersfoort Racing,1:24.110,11
13,12,Arthur Leclerc,DAMS,1:24.228,12
14,24,Kush Maini,Campos Racing,1:24.244,13
15,2,Jehan Daruvala,MP Motorsport,1:24.256,15
16,16,Roy Nissany,PHM RacingbyCharouz,1:24.356,21
17,25,Ralph Boschung,Campos Racing,1:24.497,16
18,20,Roman Staněk,Trident,1:24.500,17
19,21,Clément Novalak,Trident,1:24.532,18
20,10,Isack Hadjar,Hitech Pulse-Eight,1:24.566,19
21,3,Zane Maloney,Rodin Carlin,1:24.661,20
22,17,Brad Benavides,PHM RacingbyCharouz,1:24.803,22
