Pos.,No.,Driver,Team,Time,Grid
1,8,Oliver Bearman,Prema Racing,2:05.736,1
2,7,Frederik Vesti,Prema Racing,2:06.199,2
3,6,Victor Martins,ART Grand Prix,2:07.439,3
4,3,Zane Maloney,Rodin Carlin,2:07.797,4
5,5,Théo Pourchaire,ART Grand Prix,2:09.036,5
6,1,Dennis Hauger,MP Motorsport,2:09.054,6
7,25,Ralph Boschung,Campos Racing,2:09.541,7
8,4,Enzo Fittipaldi,Rodin Carlin,2:09.818,8
9,22,Richard Verschoor,Van Amersfoort Racing,2:09.909,9
10,2,Jehan Daruvala,MP Motorsport,2:09.984,10
11,14,Jack Doohan,Invicta Virtuosi Racing,2:10.582,11
12,9,Jak Crawford,Hitech Pulse-Eight,2:11.678,12
13,10,Isack Hadjar,Hitech Pulse-Eight,2:11.842,13
14,16,Roy Nissany,PHM RacingbyCharouz,2:11.892,14
15,12,Arthur Leclerc,DAMS,2:12.050,15
16,11,Ayumu Iwasa,DAMS,2:12.403,16
17,21,Clément Novalak,Trident,2:12.797,17
18,20,Roman Staněk,Trident,2:13.525,18
—,24,Kush Maini,Campos Racing,2:14.649,19
—,23,Juan Manuel Correa,Van Amersfoort Racing,No Time,20
—,15,Amaury Cordeel,Invicta Virtuosi Racing,No Time,21
—,17,Josh Mason,PHM RacingbyCharouz,No Time,22
