Pos.,No.,Driver,Team,Time,Grid
1,14,Jack Doohan,Invicta Virtuosi Racing,1:27.676,1
2,6,Victor Martins,ART Grand Prix,1:27.728,2
3,7,Frederik Vesti,Prema Racing,1:27.767,3
4,5,Théo Pourchaire,ART Grand Prix,1:27.930,4
5,10,Isack Hadjar,Hitech Pulse-Eight,1:27.987,5
6,11,Ayumu Iwasa,DAMS,1:28.090,6
7,8,Oliver Bearman,Prema Racing,1:28.101,7
8,2,Jehan Daruvala,MP Motorsport,1:28.153,8
9,1,Dennis Hauger,MP Motorsport,1:28.155,9
10,24,Kush Maini,Campos Racing,1:28.164,10
11,4,Enzo Fittipaldi,Rodin Carlin,1:28.267,11
12,22,Richard Verschoor,Van Amersfoort Racing,1:28.286,12
13,25,Ralph Boschung,Campos Racing,1:28.316,13
14,3,Zane Maloney,Rodin Carlin,1:28.321,14
15,21,Clément Novalak,Trident,1:28.542,20
16,23,Juan Manuel Correa,Van Amersfoort Racing,1:28.764,15
17,12,Arthur Leclerc,DAMS,1:28.800,16
18,9,Jak Crawford,Hitech Pulse-Eight,1:28.830,17
19,16,Roy Nissany,PHM RacingbyCharouz,1:29.000,18
20,15,Amaury Cordeel,Invicta Virtuosi Racing,1:29.033,19
21,17,Brad Benavides,PHM RacingbyCharouz,1:29.328,21
22,20,Roman Staněk,Trident,1:29.910,22
