Pos.,No.,Driver,Team,Time,Grid
1,6,Victor Martins,ART Grand Prix,1:41.326,1
2,8,Oliver Bearman,Prema Racing,1:42.070,2
3,5,Théo Pourchaire,ART Grand Prix,1:42.071,8
4,14,Jack Doohan,Invicta Virtuosi Racing,1:42.110,3
5,2,Jehan Daruvala,MP Motorsport,1:42.111,4
6,11,Ayumu Iwasa,DAMS,1:42.120,5
7,7,Frederik Vesti,Prema Racing,1:42.295,6
8,24,Kush Maini,Campos Racing,1:42.360,7
9,25,Ralph Boschung,Campos Racing,1:42.497,9
10,9,Jak Crawford,Hitech Pulse-Eight,1:42.553,10
11,21,Clément Novalak,Trident,1:42.576,11
12,23,Juan Manuel Correa,Van Amersfoort Racing,1:42.617,12
13,12,Arthur Leclerc,DAMS,1:42.629,13
14,4,Enzo Fittipaldi,Rodin Carlin,1:42.686,14
15,1,Dennis Hauger,MP Motorsport,1:42.754,15
16,20,Roman Staněk,Trident,1:42.795,16
17,3,Zane Maloney,Rodin Carlin,1:42.819,17
18,16,Roy Nissany,PHM RacingbyCharouz,1:42.854,18
19,10,Isack Hadjar,Hitech Pulse-Eight,1:43.079,19
20,22,Richard Verschoor,Van Amersfoort Racing,1:43.385,20
21,15,Amaury Cordeel,Invicta Virtuosi Racing,1:43.736,21
22,17,Brad Benavides,PHM RacingbyCharouz,1:45.027,22
