Pos.,No.,Driver,Team,Time,Grid
1,14,Jack Doohan,Invicta Virtuosi Racing,1:35.567,1
2,6,Victor Martins,ART Grand Prix,1:35.791,2
3,24,Kush Maini,Campos Racing,1:35.976,3
4,3,Zane Maloney,Rodin Carlin,1:36.065,4
5,11,Ayumu Iwasa,DAMS,1:36.085,5
6,1,Dennis Hauger,MP Motorsport,1:36.168,6
7,22,Richard Verschoor,Van Amersfoort Racing,1:36.227,7
8,10,Isack Hadjar,Hitech Pulse-Eight,1:36.230,8
9,7,Frederik Vesti,Prema Racing,1:36.274,9
10,4,Enzo Fittipaldi,Rodin Carlin,1:36.282,10
11,23,Juan Manuel Correa,Van Amersfoort Racing,1:36.324,11
12,16,Roy Nissany,PHM RacingbyCharouz,1:36.373,12
13,12,Arthur Leclerc,DAMS,1:36.377,13
14,5,Théo Pourchaire,ART Grand Prix,1:36.437,14
15,20,Roman Staněk,Trident,1:36.449,15
16,25,Ralph Boschung,Campos Racing,1:36.503,16
17,8,Oliver Bearman,Prema Racing,1:36.620,17
18,15,Amaury Cordeel,Invicta Virtuosi Racing,1:36.648,18
19,9,Jak Crawford,Hitech Pulse-Eight,1:36.718,19
20,2,Franco Colapinto,MP Motorsport,1:37.231,20
21,21,Paul Aron,Trident,1:37.391,21
22,17,Joshua Mason,PHM RacingbyCharouz,1:38.159,22
