Pos.,No.,Driver,Team,Time,Grid
1,4,Mitch Evans,MWArden,1:51.892,1
2,3,Aaro Vainio,Lotus GP,1:52.216,2
3,27,António Félix da Costa,Carlin,1:52.233,3
4,6,Matias Laine,MWArden,1:52.332,4
5,2,Conor Daly,Lotus GP,1:52.519,5
6,1,Daniel Abt,Lotus GP,1:52.543,6
7,18,Kevin Ceccon,Ocean Racing Technology,1:52.572,7
8,28,William Buller,Carlin,1:52.648,8
9,15,Kotaro Sakurai,Status Grand Prix,1:52.807,9
10,5,David Fumanelli,MWArden,1:52.921,12
11,29,Tamás Pál Kiss,ATECHCRS Grand Prix,1:52.930,21
12,26,Alex Brundle,Carlin,1:53.133,10
13,9,Tio Ellinas,MarussiaManor Racing,1:53.536,11
14,22,Facu Regalia,Jenzer Motorsport,1:53.549,13
15,25,Giovanni Venturini,Trident Racing,1:53.624,14
16,23,Vicky Piria,Trident Racing,1:53.769,15
17,16,Alice Powell,Status Grand Prix,1:53.852,18
18,20,Robert Visoiu,Jenzer Motorsport,1:53.861,16
19,21,Patric Niederhauser,Jenzer Motorsport,1:53.893,17
20,7,Dmitry Suranovich,MarussiaManor Racing,1:54.324,19
21,24,Antonio Spavone,Trident Racing,1:54.339,20
22,8,Fabiano Machado,MarussiaManor Racing,1:54.427,22
23,30,Fabio Gamberini,ATECHCRS Grand Prix,1:55.175,23
24,19,Robert Cregan,Ocean Racing Technology,1:55.363,24
25,14,Marlon Stöckinger,Status Grand Prix,1:55.711,25
26,31,Ethan Ringel,ATECHCRS Grand Prix,1:59.371,26
—,17,Carmen Jordá,Ocean Racing Technology,1:59.989,—4
