Pos.,No.,Driver,Team,Time,Grid
1,29,Franco Colapinto,Van Amersfoort Racing,1:46.249,1
2,2,Roman Staněk,Trident,1:46.314,2
3,12,Kush Maini,MP Motorsport,1:46.322,PL
4,8,Grégoire Saucy,ART Grand Prix,1:46.410,3
5,7,Victor Martins,ART Grand Prix,1:46.412,4
6,9,Juan Manuel Correa,ART Grand Prix,1:46.600,5
7,3,Zane Maloney,Trident,1:46.622,6
8,11,Alexander Smolyar,MP Motorsport,1:46.642,7
9,18,Isack Hadjar,Hitech Grand Prix,1:46.649,8
10,20,David Vidales,Campos Racing,1:46.707,9
11,6,Oliver Bearman,Prema Racing,1:46.843,10
12,26,Zak O'Sullivan,Carlin,1:46.860,11
13,10,Caio Collet,MP Motorsport,1:46.945,12
14,4,Arthur Leclerc,Prema Racing,1:46.961,13
15,1,Jonny Edgar,Trident,1:47.025,14
16,30,Rafael Villagómez,Van Amersfoort Racing,1:47.086,15
17,31,Reece Ushijima,Van Amersfoort Racing,1:47.123,16
18,25,William Alatalo,Jenzer Motorsport,1:47.159,17
19,17,Kaylen Frederick,Hitech Grand Prix,1:47.207,18
20,22,Pepe Martí,Campos Racing,1:47.303,19
21,5,Jak Crawford,Prema Racing,1:47.371,20
22,23,Ido Cohen,Jenzer Motorsport,1:47.444,21
23,16,Francesco Pizzi,Charouz Racing System,1:47.499,22
24,27,Brad Benavides,Carlin,1:47.566,23
25,24,Niko Kari,Jenzer Motorsport,1:47.646,24
26,21,Hunter Yeany,Campos Racing,1:47.695,25
27,19,Nazim Azman,Hitech Grand Prix,1:47.702,26
28,28,Enzo Trulli,Carlin,1:47.796,27
29,15,Ayrton Simmons,Charouz Racing System,1:48.009,29
30,14,László Tóth,Charouz Racing System,1:49.232,28
