Pos.,No.,Driver,Team,Time,Grid
1,11,Alexander Smolyar,MP Motorsport,1:37.559,1
2,3,Zane Maloney,Trident,1:37.606,2
3,2,Roman Staněk,Trident,1:37.750,3
4,7,Victor Martins,ART Grand Prix,1:37.774,4
5,4,Arthur Leclerc,Prema Racing,1:37.945,5
6,6,Oliver Bearman,Prema Racing,1:37.960,6
7,25,William Alatalo,Jenzer Motorsport,1:38.023,7
8,5,Jak Crawford,Prema Racing,1:38.031,8
9,1,Jonny Edgar,Trident,1:38.109,9
10,22,Pepe Martí,Campos Racing,1:38.182,10
11,10,Caio Collet,MP Motorsport,1:38.224,11
12,29,Franco Colapinto,Van Amersfoort Racing,1:38.283,12
13,9,Juan Manuel Correa,ART Grand Prix,1:38.035,13
14,17,Kaylen Frederick,Hitech Grand Prix,1:38.444,14
15,8,Grégoire Saucy,ART Grand Prix,1:38.488,15
16,18,Isack Hadjar,Hitech Grand Prix,1:38.498,16
17,26,Zak O'Sullivan,Carlin,1:38.500,17
18,20,David Vidales,Campos Racing,1:38.673,18
19,30,Rafael Villagómez,Van Amersfoort Racing,1:38.682,19
20,16,Francesco Pizzi,Charouz Racing System,1:38.814,20
21,27,Brad Benavides,Carlin,1:38.866,21
22,31,Reece Ushijima,Van Amersfoort Racing,1:38.915,22
23,21,Hunter Yeany,Campos Racing,1:39.105,23
24,23,Ido Cohen,Jenzer Motorsport,1:39.122,24
25,28,Enzo Trulli,Carlin,1:39.162,25
26,24,Federico Malvestiti,Jenzer Motorsport,1:39.648,26
27,19,Nazim Azman,Hitech Grand Prix,1:39.800,27
28,12,Kush Maini,MP Motorsport,1:40.008,28
29,14,László Tóth,Charouz Racing System,1:40.317,29
30,15,Alessandro Famularo,Charouz Racing System,1:40.860,30
