Pos.,No.,Driver,Team,Time,Grid
1,3,Zane Maloney,Trident,1:24.386,1
2,7,Victor Martins,ART Grand Prix,1:24.675,2
3,5,Jak Crawford,Prema Racing,1:24.822,3
4,2,Roman Staněk,Trident,1:24.831,4
5,29,Franco Colapinto,Van Amersfoort Racing,1:24.855,5
6,18,Isack Hadjar,Hitech Grand Prix,1:25.029,6
7,21,Sebastián Montoya,Campos Racing,1:25.038,7
8,1,Jonny Edgar,Trident,1:25.047,8
9,10,Caio Collet,MP Motorsport,1:25.172,9
10,26,Zak O'Sullivan,Carlin,1:25.211,10
11,8,Grégoire Saucy,ART Grand Prix,1:25.365,11
12,9,Juan Manuel Correa,ART Grand Prix,1:25.376,12
13,12,Kush Maini,MP Motorsport,1:25.510,13
14,6,Oliver Bearman,Prema Racing,1:25.555,14
15,27,Brad Benavides,Carlin,1:25.595,15
16,11,Alexander Smolyar,MP Motorsport,1:25.618,16
17,22,Pepe Martí,Campos Racing,1:25.628,17
18,17,Kaylen Frederick,Hitech Grand Prix,1:25.637,18
19,30,Rafael Villagómez,Van Amersfoort Racing,1:25.668,19
20,4,Arthur Leclerc,Prema Racing,1:25.684,20
21,16,Francesco Pizzi,Charouz Racing System,1:25.762,21
22,25,William Alatalo,Jenzer Motorsport,1:25.800,22
23,31,Reece Ushijima,Van Amersfoort Racing,1:25.826,23
24,28,Enzo Trulli,Carlin,1:26.248,24
25,23,Ido Cohen,Jenzer Motorsport,1:26.251,25
26,20,David Vidales,Campos Racing,1:26.403,26
27,15,David Schumacher,Charouz Racing System,1:26.631,27
28,24,Federico Malvestiti,Jenzer Motorsport,1:26.635,28
29,19,Nazim Azman,Hitech Grand Prix,1:27.166,29
30,14,László Tóth,Charouz Racing System,1:28.653,30
