Pos.,No.,Driver,Team,Time,Grid
1,26,Zak O'Sullivan,Carlin,1:44.597,1
2,4,Arthur Leclerc,Prema Racing,1:44.624,2
3,3,Zane Maloney,Trident,1:44.638,3
4,10,Caio Collet,MP Motorsport,1:44.783,4
5,5,Jak Crawford,Prema Racing,1:44.805,5
6,6,Oliver Bearman,Prema Racing,1:44.863,6
7,17,Kaylen Frederick,Hitech Grand Prix,1:44.876,7
8,2,Roman Staněk,Trident,1:44.920,8
9,18,Isack Hadjar,Hitech Grand Prix,1:44.922,9
10,12,Kush Maini,MP Motorsport,1:44.930,10
11,7,Victor Martins,ART Grand Prix,1:44.958,11
12,31,Reece Ushijima,Van Amersfoort Racing,1:45.012,12
13,20,David Vidales,Campos Racing,1:45.028,13
14,1,Jonny Edgar,Trident,1:45.048,14
15,8,Grégoire Saucy,ART Grand Prix,1:45.203,15
16,9,Juan Manuel Correa,ART Grand Prix,1:45.240,16
17,29,Franco Colapinto,Van Amersfoort Racing,1:45.300,17
18,21,Hunter Yeany,Campos Racing,1:45.568,18
19,16,Francesco Pizzi,Charouz Racing System,1:45.576,19
20,23,Ido Cohen,Jenzer Motorsport,1:45.718,20
21,25,William Alatalo,Jenzer Motorsport,1:45.810,21
22,19,Nazim Azman,Hitech Grand Prix,1:45.815,22
23,27,Brad Benavides,Carlin,1:45.855,23
24,24,Federico Malvestiti,Jenzer Motorsport,1:45.919,24
25,30,Rafael Villagómez,Van Amersfoort Racing,1:45.934,25
26,28,Enzo Trulli,Carlin,1:45.988,26
27,11,Filip Ugran,MP Motorsport,1:46.051,27
28,15,Zdeněk Chovanec,Charouz Racing System,1:47.713,28
29,14,László Tóth,Charouz Racing System,1:48.038,29
—,22,Pepe Martí,Campos Racing,No time set,30
