Pos.,No.,Driver,Team,Time,Grid
1,10,Caio Collet,MP Motorsport,2:11.289,1
2,3,Zane Maloney,Trident,2:11.551,2
3,16,Francesco Pizzi,Charouz Racing System,2:11.988,3
4,21,Oliver Goethe,Campos Racing,2:12.121,4
5,2,Roman Staněk,Trident,2:12.135,5
6,1,Jonny Edgar,Trident,2:12.135,6
7,11,Alexander Smolyar,MP Motorsport,2:12.149,7
8,6,Oliver Bearman,Prema Racing,2:12.204,8
9,29,Franco Colapinto,Van Amersfoort Racing,2:12.235,9
10,27,Brad Benavides,Carlin,2:12.251,10
11,9,Juan Manuel Correa,ART Grand Prix,2:12.255,11
12,26,Zak O'Sullivan,Carlin,2:12.454,12
13,25,William Alatalo,Jenzer Motorsport,2:12.494,13
14,28,Enzo Trulli,Carlin,2:12.672,14
15,12,Kush Maini,MP Motorsport,2:12.687,15
16,31,Reece Ushijima,Van Amersfoort Racing,2:12.716,16
17,22,Pepe Martí,Campos Racing,2:12.726,17
18,20,David Vidales,Campos Racing,2:12.955,18
19,8,Grégoire Saucy,ART Grand Prix,2:13.140,19
20,4,Arthur Leclerc,Prema Racing,2:13.191,20
21,23,Ido Cohen,Jenzer Motorsport,2:13.645,21
22,24,Federico Malvestiti,Jenzer Motorsport,2:13.921,22
23,18,Isack Hadjar,Hitech Grand Prix,2:13.970,23
24,7,Victor Martins,ART Grand Prix,2:14.357,24
25,15,Christian Mansell,Charouz Racing System,2:14.385,25
26,17,Kaylen Frederick,Hitech Grand Prix,2:14.677,26
27,30,Rafael Villagómez,Van Amersfoort Racing,2:15.288,27
28,14,László Tóth,Charouz Racing System,2:16.011,28
29,19,Nazim Azman,Hitech Grand Prix,2:16.220,29
—,5,Jak Crawford,Prema Racing,2:23.648,30
