Pos.,No.,Driver,Team,Time,Grid
1,2,Roman Staněk,Trident,1:33.516,1
2,7,Victor Martins,ART Grand Prix,1:33.568,2
3,11,Alexander Smolyar,MP Motorsport,1:33.613,3
4,18,Isack Hadjar,Hitech Grand Prix,1:33.726,4
5,4,Arthur Leclerc,Prema Racing,1:33.731,5
6,6,Oliver Bearman,Prema Racing,1:33.747,6
7,10,Caio Collet,MP Motorsport,1:33.750,7
8,17,Kaylen Frederick,Hitech Grand Prix,1:33.805,8
9,5,Jak Crawford,Prema Racing,1:33.825,9
10,9,Juan Manuel Correa,ART Grand Prix,1:33.857,10
11,20,David Vidales,Campos Racing,1:33.873,11
12,3,Zane Maloney,Trident,1:33.926,PL
13,29,Franco Colapinto,Van Amersfoort Racing,1:33.963,12
14,8,Grégoire Saucy,ART Grand Prix,1:34.040,13
15,1,Oliver Rasmussen,Trident,1:34.041,14
16,22,Pepe Martí,Campos Racing,1:34.117,15
17,31,Reece Ushijima,Van Amersfoort Racing,1:34.180,16
18,30,Rafael Villagómez,Van Amersfoort Racing,1:34.317,17
19,26,Zak O'Sullivan,Carlin,1:34.320,18
20,21,Hunter Yeany,Campos Racing,1:34.342,19
21,25,William Alatalo,Jenzer Motorsport,1:34.568,20
22,15,Lirim Zendeli,Charouz Racing System,1:34.686,21
23,12,Kush Maini,MP Motorsport,1:34.735,22
24,19,Nazim Azman,Hitech Grand Prix,1:34.795,23
25,23,Ido Cohen,Jenzer Motorsport,1:34.866,24
26,28,Enzo Trulli,Carlin,1:34.973,25
27,24,Federico Malvestiti,Jenzer Motorsport,1:35.096,26
28,27,Brad Benavides,Carlin,1:35.337,27
29,16,Francesco Pizzi,Charouz Racing System,1:35.549,28
30,14,László Tóth,Charouz Racing System,1:35.575,29
