Pos.,No.,Driver,Team,Time,Grid
1,18,Isack Hadjar,Hitech Grand Prix,1:19.759,1
2,7,Victor Martins,ART Grand Prix,1:19.980,2
3,6,Oliver Bearman,Prema Racing,1:20.058,3
4,4,Arthur Leclerc,Prema Racing,1:20.069,4
5,17,Kaylen Frederick,Hitech Grand Prix,1:20.134,5
6,2,Roman Staněk,Trident,1:20.178,6
7,1,Jonny Edgar,Trident,1:20.199,7
8,3,Zane Maloney,Trident,1:20.290,8
9,29,Franco Colapinto,Van Amersfoort Racing,1:20.297,9
10,5,Jak Crawford,Prema Racing,1:20.351,10
11,9,Juan Manuel Correa,ART Grand Prix,1:20.380,11
12,10,Caio Collet,MP Motorsport,1:20.421,12
13,23,Ido Cohen,Jenzer Motorsport,1:20.431,13
14,25,William Alatalo,Jenzer Motorsport,1:20.433,14
15,26,Zak O'Sullivan,Carlin,1:20.510,15
16,11,Alexander Smolyar,MP Motorsport,1:20.516,16
17,28,Enzo Trulli,Carlin,1:20.568,17
18,8,Grégoire Saucy,ART Grand Prix,1:20.591,18
19,20,David Vidales,Campos Racing,1:20.607,19
20,22,Pepe Martí,Campos Racing,1:20.668,20
21,31,Reece Ushijima,Van Amersfoort Racing,1:20.747,21
22,19,Nazim Azman,Hitech Grand Prix,1:20.782,22
23,21,Hunter Yeany,Campos Racing,1:20.859,23
24,16,Francesco Pizzi,Charouz Racing System,1:20.868,24
25,30,Rafael Villagómez,Van Amersfoort Racing,1:20.927,25
26,12,Kush Maini,MP Motorsport,1:21.098,26
27,27,Brad Benavides,Carlin,1:21.304,27
28,24,Federico Malvestiti,Jenzer Motorsport,1:21.370,28
29,14,László Tóth,Charouz Racing System,1:22.566,29
—,15,Zdeněk Chovanec,Charouz Racing System,1:27.895,30
