Pos.,No.,Driver,Team,Time/Gap,GridSR,GridFR
1,6,Oliver Goethe,Trident,1:38.909,221,1
2,17,Caio Collet,Van Amersfoort Racing,+0.092,11,2
3,1,Paul Aron,Prema Racing,+0.134,10,3
4,12,Jonny Edgar,MP Motorsport,+0.228,9,4
5,5,Gabriel Bortoleto,Trident,+0.352,8,5
6,3,Zak O'Sullivan,Prema Racing,+0.410,7,6
7,4,Leonardo Fornaroli,Trident,+0.431,6,7
8,27,Taylor Barnard,Jenzer Motorsport,+0.664,5,8
9,9,Nikola Tsolov,ART Grand Prix,+0.671,4,9
10,8,Grégoire Saucy,ART Grand Prix,+0.692,3,10
11,11,Mari Boya,MP Motorsport,+0.875,2,11
12,10,Franco Colapinto,MP Motorsport,+0.970,1,12
13,23,Pepe Martí,Campos Racing,+1.205,12,13
14,24,Christian Mansell[a],Campos Racing,+1.267,13,14
15,19,Tommy Smith,Van Amersfoort Racing,+1.294,14,15
16,7,Kaylen Frederick,ART Grand Prix,+1.302,15,16
17,18,Rafael Villagómez,Van Amersfoort Racing,+1.731,16,17
18,29,Sophia Flörsch,PHM RacingbyCharouz,+2.286,17,18
19,31,Woohyun Shin,PHM RacingbyCharouz,+2.330,18,22
20,25,Joshua Dufek,Campos Racing,+2.510,19,19
21,28,Alex García,Jenzer Motorsport,+2.513,20,20
22,30,Roberto Faria,PHM RacingbyCharouz,+3.602,21,21
—,2,Dino Beganovic,Prema Racing,No time set,23,23
—,26,Nikita Bedrin[b],Jenzer Motorsport,No time set,24,24
—,20,Oliver Gray,Rodin Carlin,No time set,252,25
DSQ,15,Gabriele Minì,Hitech Pulse Eight,Disqualified3,26,26
DSQ,16,Luke Browning,Hitech Pulse Eight,Disqualified3,27,27
DSQ,14,Sebastián Montoya,Hitech Pulse Eight,Disqualified3,28,28
DSQ,22,Ido Cohen,Rodin Carlin,Disqualified3,29,29
DSQ,21,Francesco Simonazzi,Rodin Carlin,Disqualified3,30,30
