Pos.,No.,Driver,Team,Time,Gap,Grid
1,15,Gabriele Minì,Hitech Pulse-Eight,1:23.278,–,1
1,2,Dino Beganovic,Prema Racing,1:23.880,–,2
2,1,Paul Aron,Prema Racing,1:24.152,+0.874,3
2,16,Luke Browning,Hitech Pulse-Eight,1:23.883,+0.003,4
3,17,Caio Collet,Van Amersfoort Racing,1:24.357,+1.079,5
3,14,Sebastián Montoya,Hitech Pulse-Eight,1:24.122,+0.242,6
4,5,Gabriel Bortoleto,Trident,1:24.679,+1.401,7
4,10,Franco Colapinto,MP Motorsport,1:24.242,+0.362,8
5,27,Taylor Barnard,Jenzer Motorsport,1:24.763,+1.485,9
5,4,Leonardo Fornaroli,Trident,1:25.264,+1.384,10
6,23,Pepe Martí,Campos Racing,1:24.770,+1.492,11
6,8,Grégoire Saucy,ART Grand Prix,1:25.456,+1.576,12
7,3,Zak O'Sullivan,Prema Racing,1:24.873,+1.595,13
7,26,Nikita Bedrin[a],Jenzer Motorsport,1:25.742,+1.862,14
8,9,Nikola Tsolov,ART Grand Prix,1:24.911,+1.633,15
8,12,Jonny Edgar,MP Motorsport,1:25.749,+1.869,16
9,11,Mari Boya,MP Motorsport,1:25.123,+1.845,17
9,6,Oliver Goethe,Trident,1:25.870,+1.990,18
10,19,Tommy Smith,Van Amersfoort Racing,1:25.158,+1.880,19
10,24,Christian Mansell[b],Campos Racing,1:26.055,+2.175,20
11,25,Hugh Barter,Campos Racing,1:25.267,+1.989,21
11,18,Rafael Villagómez,Van Amersfoort Racing,1:26.141,+2.261,22
12,7,Kaylen Frederick,ART Grand Prix,1:25.888,+2.610,23
12,20,Oliver Gray,Rodin Carlin,1:26.542,+2.662,24
13,31,Piotr Wiśnicki,PHM RacingbyCharouz,1:26.040,+3.161,25
13,22,Ido Cohen,Rodin Carlin,1:27.041,+3.161,26
14,21,Hunter Yeany,Rodin Carlin,1:26.303,+3.025,27
14,28,Alex García,Jenzer Motorsport,1:27.147,+3.267,28
15,29,Sophia Flörsch,PHM RacingbyCharouz,1:26.390,+3.112,29
15,30,Roberto Faria,PHM RacingbyCharouz,1:29.556,+5.676,30
