Pos.,No.,Driver,Team,Time/Gap,R1,R2
1,3,Zak O'Sullivan,Prema Racing,1:31.091,12,1
2,2,Dino Beganovic,Prema Racing,+0.403,11,2
3,4,Leonardo Fornaroli,Trident,+0.506,10,3
4,10,Franco Colapinto,MP Motorsport,+0.535,9,4
5,6,Oliver Goethe,Trident,+0.615,7,5
6,1,Paul Aron,Prema Racing,+0.653,6,6
7,9,Nikola Tsolov,ART Grand Prix,+0.718,5,10
8,12,Jonny Edgar,MP Motorsport,+0.766,81,7
9,5,Gabriel Bortoleto,Trident,+0.785,4,8
10,24,Christian Mansell[b],Campos Racing,+0.789,3,9
11,26,Nikita Bedrin[c],Jenzer Motorsport,+1.030,2,11
12,15,Gabriele Minì,Hitech Pulse-Eight,+1.072,1,12
13,23,Pepe Martí,Campos Racing,+1.082,13,13
14,8,Grégoire Saucy,ART Grand Prix,+1.091,14,14
15,11,Mari Boya,MP Motorsport,+1.096,15,15
16,7,Kaylen Frederick,ART Grand Prix,+1.177,16,16
17,27,Taylor Barnard,Jenzer Motorsport,+1.224,17,17
18,16,Luke Browning,Hitech Pulse-Eight,+1.234,18,18
19,17,Caio Collet,Van Amersfoort Racing,+1.372,19,24
20,18,Rafael Villagómez,Van Amersfoort Racing,+1.633,20,25
21,14,Sebastián Montoya,Hitech Pulse-Eight,+1.687,21,19
22,25,Hugh Barter,Campos Racing,+1.814,22,20
23,22,Ido Cohen,Rodin Carlin,+2.077,23,21
24,19,Tommy Smith,Van Amersfoort Racing,+2.503,24,29
25,21,Max Esterson,Rodin Carlin,+2.806,25,22
26,28,Alex García,Jenzer Motorsport,+3.324,26,23
27,31,Woohyun Shin,PHM RacingbyCharouz,+3.432,27,26
28,29,Sophia Flörsch,PHM RacingbyCharouz,+3.675,28,27
29,30,Roberto Faria,PHM RacingbyCharouz,+3.876,29,28
—,20,Oliver Gray,Rodin Carlin,+36.884,30,30
