Pos.,No.,Driver,Team,Time/Gap,R1,R2
1,23,Pepe Martí,Campos Racing,2:22.160,12,1
2,4,Leonardo Fornaroli,Trident,+0.016,11,2
3,15,Gabriele Minì,Hitech Pulse-Eight,+0.094,10,81
4,10,Franco Colapinto,MP Motorsport,+0.242,9,3
5,9,Nikola Tsolov,ART Grand Prix,+0.357,8,4
6,3,Zak O'Sullivan,Prema Racing,+0.391,7,5
7,2,Dino Beganovic,Prema Racing,+0.562,6,6
8,12,Jonny Edgar,MP Motorsport,+0.579,5,7
9,17,Caio Collet,Van Amersfoort Racing,+0.632,4,9
10,27,Taylor Barnard,Jenzer Motorsport,+0.656,3,10
11,1,Paul Aron,Prema Racing,+0.782,2,11
12,25,Hugh Barter,Campos Racing,+0.944,1,12
13,16,Luke Browning,Hitech Pulse-Eight,+0.983,13,13
14,11,Mari Boya,MP Motorsport,+1.015,14,14
15,5,Gabriel Bortoleto,Trident,+1.091,15,15
16,8,Grégoire Saucy,ART Grand Prix,+1.185,16,16
17,7,Kaylen Frederick,ART Grand Prix,+1.275,17,17
18,26,Nikita Bedrin[b],Jenzer Motorsport,+1.754,18,18
19,18,Rafael Villagómez,Van Amersfoort Racing,+1.785,19,19
20,19,Tommy Smith,Van Amersfoort Racing,+1.815,20,20
21,14,Sebastián Montoya,Hitech Pulse-Eight,+1.846,21,21
22,28,Alex García,Jenzer Motorsport,+2.116,22,22
23,24,Christian Mansell[c],Campos Racing,+2.174,23,23
24,29,Sophia Flörsch,PHM RacingbyCharouz,+2.792,24,24
25,20,Oliver Gray,Rodin Carlin,+2.859,25,25
26,22,Ido Cohen,Rodin Carlin,+3.572,26,26
27,6,Oliver Goethe,Trident,+3.978,27,27
28,31,Woohyun Shin,PHM RacingbyCharouz,+4.160,28,28
29,21,Francesco Simonazzi,Rodin Carlin,+4.207,29,29
30,30,Roberto Faria,PHM RacingbyCharouz,+4.650,30,30
