Pos.,No.,Driver,Team,Time/Gap,GridSR,GridFR
1,23,Pepe Martí,Campos Racing,1:27.587,12,1
2,27,Taylor Barnard,Jenzer Motorsport,+0.250,11,2
3,10,Franco Colapinto,MP Motorsport,+0.277,10,3
4,2,Dino Beganovic,Prema Racing,+0.343,9,4
5,1,Paul Aron,Prema Racing,+0.347,8,5
6,5,Gabriel Bortoleto,Trident,+0.418,7,6
7,14,Sebastián Montoya,Hitech Pulse-Eight,+0.485,6,7
8,11,Mari Boya,MP Motorsport,+0.495,5,8
9,4,Leonardo Fornaroli,Trident,+0.500,4,9
10,8,Grégoire Saucy,ART Grand Prix,+0.518,3,10
11,16,Luke Browning,Hitech Pulse-Eight,+0.554,2,11
12,3,Zak O'Sullivan,Prema Racing,+0.602,1,12
13,6,Oliver Goethe,Trident,+0.611,13,13
14,26,Nikita Bedrin[a],Jenzer Motorsport,+0.669,14,14
15,25,Hugh Barter,Campos Racing,+0.7371,15,15
16,24,Christian Mansell[b],Campos Racing,+0.7371,16,16
17,12,Jonny Edgar,MP Motorsport,+0.899,17,17
18,15,Gabriele Minì,Hitech Pulse-Eight,+0.937,18,18
19,9,Nikola Tsolov,ART Grand Prix,+1.025,19,19
20,17,Caio Collet,Van Amersfoort Racing,+1.037,20,20
21,7,Kaylen Frederick,ART Grand Prix,+1.260,21,21
22,19,Tommy Smith,Van Amersfoort Racing,+1.287,22,22
23,20,Oliver Gray,Rodin Carlin,+1.322,23,23
24,18,Rafael Villagómez,Van Amersfoort Racing,+1.431,24,24
25,28,Alex García,Jenzer Motorsport,+1.643,25,25
26,31,Piotr Wiśnicki,PHM RacingbyCharouz,+1.778,26,26
27,29,Sophia Flörsch,PHM RacingbyCharouz,+1.901,27,27
28,30,Roberto Faria,PHM RacingbyCharouz,+2.014,28,28
29,22,Ido Cohen,Rodin Carlin,+2.030,29,29
30,21,Hunter Yeany,Rodin Carlin,+2.129,30,30
