Pos.,No.,Driver,Team,Time,Grid
1,8,Alexander Rossi,Racing Engineering,1:37.019,1
1,11,Raffaele Marciello,Trident,1:40.357,2
2,14,Arthur Pic,Campos Racing,1:37.617,3
2,5,Stoffel Vandoorne,ART Grand Prix,1:41.124,4
3,18,Sergey Sirotkin,Rapax,1:38.391,5
3,3,Julián Leal,Carlin,1:41.655,6
4,24,Nick Yelloly,Hilmer Motorsport,1:38.618,7
4,7,Jordan King,Racing Engineering,1:41.895,8
5,16,Sergio Canamasas,MP Motorsport,1:38.691,9
5,17,Daniël de Jong,MP Motorsport,1:42.150,10
6,6,Nobuharu Matsushita,ART Grand Prix,1:39.020,11
6,1,Pierre Gasly,DAMS,1:42.248,12
7,10,Artem Markelov,Russian Time,1:39.073,13
7,23,Richie Stanaway,Status Grand Prix,1:42.425,14
8,20,André Negrão,Arden International,1:39.142,15
8,27,Zoël Amberg,Team Lazarus,1:42.539,16
9,2,Alex Lynn,DAMS,1:39.186,17
9,9,Mitch Evans,Russian Time,1:42.804,18
10,4,Marco Sørensen,Carlin,1:39.532,19
10,15,Rio Haryanto,Campos Racing,1:42.913,20
11,12,René Binder,Trident,1:39.539,21
11,25,Johnny Cecotto Jr.,Hilmer Motorsport,1:43.386,22
12,26,Nathanaël Berthon,Team Lazarus,1:40.101,23
12,21,Norman Nato,Arden International,1:44.286,24
13,22,Marlon Stöckinger,Status Grand Prix,1:41.503,25
13,19,Robert Vișoiu,Rapax,1:44.475,26
