Pos.,No.,Driver,Team,Time,Grid
1,5,Stoffel Vandoorne,ART Grand Prix,1:29.273,1
2,2,Alex Lynn,DAMS,1:29.680,2
3,1,Pierre Gasly,DAMS,1:30.051,3
4,9,Mitch Evans,Russian Time,1:30.106,4
5,8,Alexander Rossi,Racing Engineering,1:30.154,5
6,17,Daniël de Jong,MP Motorsport,1:30.169,6
7,11,Raffaele Marciello,Trident,1:30.191,7
8,15,Rio Haryanto,Campos Racing,1:30.291,8
9,24,Nick Yelloly,Hilmer Motorsport,1:30.375,9
10,3,Julián Leal,Carlin,1:30.402,10
11,14,Arthur Pic,Campos Racing,1:30.411,11
12,21,Norman Nato,Arden International,1:30.416,12
13,23,Richie Stanaway,Status Grand Prix,1:30.420,13
14,6,Nobuharu Matsushita,ART Grand Prix,1:30.649,14
15,7,Jordan King,Racing Engineering,1:30.686,15
16,16,Sergio Canamasas,MP Motorsport,1:30.722,16
17,19,Robert Vișoiu,Rapax,1:30.879,17
18,4,Marco Sørensen,Carlin,1:30.891,18
19,26,Nathanaël Berthon,Lazarus,1:31.029,19
20,22,Marlon Stöckinger,Status Grand Prix,1:31.042,20
21,25,Johnny Cecotto Jr.,Hilmer Motorsport,1:31.049,21
22,20,André Negrão,Arden International,1:31.390,22
23,18,Sergey Sirotkin,Rapax,1:31.394,23
24,12,René Binder,Trident,1:31.397,24
25,27,Zoël Amberg,Lazarus,1:31.751,25
26,10,Artem Markelov,Russian Time,No Time Set,26
