Pos.,No.,Driver,Team,Time,Gap,Grid
1,1,Pierre Gasly,DAMS,1:47.769,,1
2,5,Stoffel Vandoorne,ART Grand Prix,1:47.866,+0.097,2
3,9,Mitch Evans,Russian Time,1:48.014,+0.245,3
4,2,Alex Lynn,DAMS,1:48.049,+0.280,4
5,11,Raffaele Marciello,Trident,1:48.419,+0.650,5
6,15,Rio Haryanto,Campos Racing,1:48.429,+0.660,6
7,8,Alexander Rossi,Racing Engineering,1:48.598,+0.829,7
8,7,Jordan King,Racing Engineering,1:48.632,+0.863,8
9,6,Nobuharu Matsushita,ART Grand Prix,1:48.699,+0.930,9
10,10,Artem Markelov,Russian Time,1:48.743,+0.974,10
11,20,André Negrão,Arden International,1:48.822,+1.053,11
12,18,Sergey Sirotkin,Rapax,1:48.981,+1.212,12
13,21,Norman Nato,Arden International,1:49.105,+1.336,13
14,14,Arthur Pic,Campos Racing,1:49.110,+1.341,14
15,27,Sergio Canamasas,Daiko Team Lazarus,"1:49,146",+1.377,15
16,3,Dean Stoneman,Carlin,"1:49,166",+1.397,16
17,16,Nicholas Latifi,MP Motorsport,1:49.350,+1.581,17
18,23,Oliver Rowland,Status Grand Prix,1:49.374,+1.605,18
19,17,René Binder,MP Motorsport,1:49.661,+1.892,19
20,12,Daniël de Jong,Trident,1:49.727,+1.958,20
21,26,Nathanaël Berthon,Daiko Team Lazarus,1:49.779,+2.010,21
22,22,Marlon Stöckinger,Status Grand Prix,1:49.839,+2.070,22
23,19,Gustav Malja,Rapax,1:50.543,+2.774,23
24,4,Sean Gelael,Carlin,1:51.604,+3.835,24
