Entrant,No.,Driver name,Rounds
MP Motorsport,1,Dennis Hauger,All
MP Motorsport,2,Jehan Daruvala,1–12
MP Motorsport,Franco Colapinto,13,
Rodin Carlin,3,Zane Maloney,All
Rodin Carlin,4,Enzo Fittipaldi,All
ART Grand Prix,5,Théo Pourchaire,All
ART Grand Prix,6,Victor Martins,All
Prema Racing,7,Frederik Vesti,All
Prema Racing,8,Oliver Bearman,All
Hitech Pulse-Eight,9,Jak Crawford,All
Hitech Pulse-Eight,10,Isack Hadjar,All
DAMS,11,Ayumu Iwasa,All
DAMS,12,Arthur Leclerc,All
Invicta Virtuosi Racing,14,Jack Doohan,All
Invicta Virtuosi Racing,15,Amaury Cordeel,All
PHM RacingbyCharouz(1–12)PHM Racing(13)[5],16,Roy Nissany,All
PHM RacingbyCharouz(1–12)PHM Racing(13)[5],17,Brad Benavides,1–9
PHM RacingbyCharouz(1–12)PHM Racing(13)[5],Josh Mason,10–13,
Trident,20,Roman Staněk,All
Trident,21,Clément Novalak,1–12
Trident,Paul Aron,13,
Van Amersfoort Racing,22,Richard Verschoor,All
Van Amersfoort Racing,23,Juan Manuel Correa,All
Campos Racing,24,Kush Maini,All
Campos Racing,25,Ralph Boschung,All
