Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:27.689,1:27.566,1:27.241,1
2,16,Charles Leclerc,Ferrari,1:28.081,1:27.533,1:27.382,2
3,55,Carlos Sainz Jr.,Ferrari,1:27.937,1:27.941,1:27.455,3
4,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:27.772,1:27.839,1:27.460,4
5,4,Lando Norris,McLaren-Mercedes,1:27.913,1:27.871,1:27.594,5
6,81,Oscar Piastri,McLaren-Mercedes,1:28.032,1:27.721,1:27.675,6
7,63,George Russell,Mercedes,1:28.159,1:28.095,1:28.067,7
8,44,Lewis Hamilton,Mercedes,1:28.167,1:27.697,1:28.107,8
9,27,Nico Hülkenberg,Haas-Ferrari,1:28.383,1:28.200,1:28.146,9
10,22,Yuki Tsunoda,RB-Honda RBPT,1:28.324,1:28.167,1:28.192,10
11,18,Lance Stroll,Aston MartinAramco-Mercedes,1:28.177,1:28.222,N/A,11
12,10,Pierre Gasly,Alpine-Renault,1:27.976,1:28.324,N/A,12
13,31,Esteban Ocon,Alpine-Renault,1:28.209,1:28.371,N/A,13
14,23,Alexander Albon,Williams-Mercedes,1:28.343,1:28.413,N/A,14
15,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:28.453,1:28.427,N/A,15
16,77,Valtteri Bottas,KickSauber-Ferrari,1:28.463,N/A,N/A,16
17,2,Logan Sargeant,Williams-Mercedes,1:28.487,N/A,N/A,17
18,3,Daniel Ricciardo,RB-Honda RBPT,1:28.617,N/A,N/A,20
19,20,Kevin Magnussen,Haas-Ferrari,1:28.619,N/A,N/A,18
20,24,Zhou Guanyu,KickSauber-Ferrari,1:28.824,N/A,N/A,19
