Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:15.762,1:15.176,1:14.746,1
2,81,Oscar Piastri,McLaren-Mercedes,1:15.940,1:15.407,1:14.820,5
3,4,Lando Norris,McLaren-Mercedes,1:15.915,1:15.371,1:14.837,2
4,16,Charles Leclerc,Ferrari,1:15.823,1:15.328,1:14.970,3
5,55,Carlos Sainz Jr.,Ferrari,1:16.015,1:15.512,1:15.233,4
6,63,George Russell,Mercedes,1:16.107,1:15.671,1:15.234,6
7,22,Yuki Tsunoda,RB-Honda RBPT,1:15.894,1:15.358,1:15.465,7
8,44,Lewis Hamilton,Mercedes,1:16.604,1:15.677,1:15.504,8
9,3,Daniel Ricciardo,RB-Honda RBPT,1:16.060,1:15.691,1:15.674,9
10,27,Nico Hülkenberg,Haas-Ferrari,1:15.841,1:15.569,1:15.980,10
11,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:16.404,1:15.706,N/A,11
12,31,Esteban Ocon,Alpine-Renault,1:16.361,1:15.906,N/A,12
13,18,Lance Stroll,Aston MartinAramco-Mercedes,1:16.458,1:15.992,N/A,13
14,23,Alexander Albon,Williams-Mercedes,1:16.524,1:16.200,N/A,14
15,10,Pierre Gasly,Alpine-Renault,1:16.015,1:16.381,N/A,15
16,77,Valtteri Bottas,KickSauber-Ferrari,1:16.626,N/A,N/A,16
17,24,Zhou Guanyu,KickSauber-Ferrari,1:16.834,N/A,N/A,17
18,20,Kevin Magnussen,Haas-Ferrari,1:16.854,N/A,N/A,18
19,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:16.917,N/A,N/A,PL
—,2,Logan Sargeant,Williams-Mercedes,No time,N/A,N/A,19
