Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:30.031,1:29.374,1:29.179,1
2,16,Charles Leclerc,Ferrari,1:30.243,1:29.165,1:29.407,2
3,63,George Russell,Mercedes,1:30.350,1:29.922,1:29.485,3
4,55,Carlos Sainz Jr.,Ferrari,1:29.909,1:29.573,1:29.507,4
5,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:30.221,1:29.932,1:29.537,5
6,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:30.179,1:29.801,1:29.542,6
7,4,Lando Norris,McLaren-Mercedes,1:30.143,1:29.941,1:29.614,7
8,81,Oscar Piastri,McLaren-Mercedes,1:30.531,1:30.122,1:29.683,8
9,44,Lewis Hamilton,Mercedes,1:30.451,1:29.718,1:29.710,9
10,27,Nico Hülkenberg,Haas-Ferrari,1:30.566,1:29.851,1:30.502,10
11,22,Yuki Tsunoda,RB-Honda RBPT,1:30.481,1:30.129,N/A,11
12,18,Lance Stroll,Aston MartinAramco-Mercedes,1:29.965,1:30.200,N/A,12
13,23,Alexander Albon,Williams-Mercedes,1:30.397,1:30.221,N/A,13
14,3,Daniel Ricciardo,RB-Honda RBPT,1:30.562,1:30.278,N/A,14
15,20,Kevin Magnussen,Haas-Ferrari,1:30.646,1:30.529,N/A,15
16,77,Valtteri Bottas,KickSauber-Ferrari,1:30.756,N/A,N/A,16
17,24,Zhou Guanyu,KickSauber-Ferrari,1:30.757,N/A,N/A,17
18,2,Logan Sargeant,Williams-Mercedes,1:30.770,N/A,N/A,18
19,31,Esteban Ocon,Alpine-Renault,1:30.793,N/A,N/A,19
20,10,Pierre Gasly,Alpine-Renault,1:30.948,N/A,N/A,20
