Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lando Norris,McLaren-Mercedes,1:30.944,1:24.844,1:23.405,1
2,63,George Russell,Mercedes,1:29.121,1:26.307,1:23.578,2
3,22,Yuki Tsunoda,RB-Honda RBPT,1:29.172,1:26.464,1:24.111,3
4,31,Esteban Ocon,Alpine-Renault,1:29.171,1:26.206,1:24.475,4
5,30,Liam Lawson,RB-Honda RBPT,1:30.758,1:25.654,1:24.484,5
6,16,Charles Leclerc,Ferrari,1:29.839,1:26.097,1:24.525,6
7,23,Alexander Albon,Williams-Mercedes,1:29.072,1:25.889,1:24.657,7
8,81,Oscar Piastri,McLaren-Mercedes,1:30.114,1:25.179,1:24.686,8
9,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:30.207,1:25.035,1:28.998,9
10,18,Lance Stroll,Aston MartinAramco-Mercedes,1:30.580,1:26.334,No time,10
11,77,Valtteri Bottas,KickSauber-Ferrari,1:30.633,1:26.472,N/A,11
12,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:28.522,1:27.771,N/A,17
13,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:30.035,1:28.158,N/A,12
14,55,Carlos Sainz Jr.,Ferrari,1:30.303,1:29.406,N/A,PL
15,10,Pierre Gasly,Alpine-Renault,1:29.420,1:29.614,N/A,13
16,44,Lewis Hamilton,Mercedes,1:31.150,N/A,N/A,14
17,50,Oliver Bearman,Haas-Ferrari,1:31.229,N/A,N/A,15
18,43,Franco Colapinto,Williams-Mercedes,1:31.270,N/A,N/A,16
19,27,Nico Hülkenberg,Haas-Ferrari,1:31.623,N/A,N/A,18
20,24,Zhou Guanyu,KickSauber-Ferrari,1:32.263,N/A,N/A,19
