Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,63,George Russell,Mercedes,1:30.106,1:26.723,1:25.819,1
2,44,Lewis Hamilton,Mercedes,1:29.547,1:26.770,1:25.990,2
3,4,Lando Norris,McLaren-Mercedes,1:31.596,1:26.559,1:26.030,3
4,1,Max Verstappen,Red Bull Racing-Honda RBPT,1:31.342,1:26.796,1:26.203,4
5,81,Oscar Piastri,McLaren-Mercedes,1:30.895,1:26.733,1:26.237,5
6,27,Nico Hülkenberg,Haas-Ferrari,1:31.929,1:26.847,1:26.338,6
7,55,Carlos Sainz Jr.,Ferrari,1:30.557,1:26.843,1:26.509,7
8,18,Lance Stroll,Aston MartinAramco-Mercedes,1:31.410,1:26.938,1:26.585,8
9,23,Alexander Albon,Williams-Mercedes,1:31.135,1:26.933,1:26.640,9
10,14,Fernando Alonso,Aston MartinAramco-Mercedes,1:31.264,1:26.730,1:26.917,10
11,16,Charles Leclerc,Ferrari,1:30.496,1:27.097,N/A,11
12,2,Logan Sargeant,Williams-Mercedes,1:31.608,1:27.175,N/A,12
13,22,Yuki Tsunoda,RB-Honda RBPT,1:30.994,1:27.269,N/A,13
14,24,Zhou Guanyu,KickSauber-Ferrari,1:31.190,1:27.867,N/A,14
15,3,Daniel Ricciardo,RB-Honda RBPT,1:31.291,1:27.949,N/A,15
16,77,Valtteri Bottas,KickSauber-Ferrari,1:32.431,N/A,N/A,16
17,20,Kevin Magnussen,Haas-Ferrari,1:32.905,N/A,N/A,17
18,31,Esteban Ocon,Alpine-Renault,1:34.557,N/A,N/A,18
19,11,Sergio Pérez,Red Bull Racing-Honda RBPT,1:38.348,N/A,N/A,PL
20,10,Pierre Gasly,Alpine-Renault,1:39.804,N/A,N/A,19
