Team,No.,Driver,Rounds
Red Bull Racing Renault,1,Sebastian Vettel,All
Red Bull Racing Renault,2,Mark Webber,All
Vodafone McLaren Mercedes,3,Lewis Hamilton,All
Vodafone McLaren Mercedes,4,Jenson Button,All
Scuderia Ferrari,5,Fernando Alonso,All
Scuderia Ferrari,6,Felipe Massa,All
Mercedes GP Petronas F1 Team,7,Michael Schumacher,All
Mercedes GP Petronas F1 Team,8,Nico Rosberg,All
Lotus Renault GP,9,Nick Heidfeld,1–11
Lotus Renault GP,9,Bruno Senna,12–19
Lotus Renault GP,10,Vitaly Petrov,All
AT&T Williams,11,Rubens Barrichello,All
AT&T Williams,12,Pastor Maldonado,All
Force India F1 Team,14,Adrian Sutil,All
Force India F1 Team,15,Paul di Resta,All
Sauber F1 Team,16,Kamui Kobayashi,All
Sauber F1 Team,17,Sergio Pérez,All
Sauber F1 Team,17,Pedro de la Rosa,7
Scuderia Toro Rosso,18,Sébastien Buemi,All
Scuderia Toro Rosso,19,Jaime Alguersuari,All
Team Lotus,20,Heikki Kovalainen,All
Team Lotus,21,Jarno Trulli,"1–9, 11–19"
Team Lotus,21,Karun Chandhok,10
HRT Formula 1 Team,22,Narain Karthikeyan,"1–8, 17"
HRT Formula 1 Team,22,Daniel Ricciardo,"9–16, 18–19"
HRT Formula 1 Team,23,Vitantonio Liuzzi,"1–16, 18–19"
HRT Formula 1 Team,23,Daniel Ricciardo,17
Marussia Virgin Racing,24,Timo Glock,All
Marussia Virgin Racing,25,Jérôme d'Ambrosio,All
