Pos.,No.,Driver,Entrant,Time/Gap,GridSR,GridFR
1,17,Paul Aron,Hitech Pulse-Eight,1:35.115,9,1
2,10,Gabriel Bortoleto,Invicta Racing,+0.335,8,2
3,1,Victor Martins,ART Grand Prix,+0.455,7,3
4,8,Dino Beganovic,DAMS Lucas Oil,+0.657,6,4
5,11,Richard Verschoor,MP Motorsport,+0.732,5,5
6,7,Jak Crawford,DAMS Lucas Oil,+0.980,4,6
7,9,Kush Maini,Invicta Racing,+0.985,121,7
8,12,Oliver Goethe,MP Motorsport,+1.036,3,8
9,20,Isack Hadjar,Campos Racing,+1.072,2,9
10,3,Oliver Bearman,Prema Racing,+1.099,1,10
11,4,Andrea Kimi Antonelli,Prema Racing,+1.321,10,11
12,21,Pepe Martí,Campos Racing,+1.361,11,12
13,22,Max Esterson,Trident,+1.610,13,13
14,2,Luke Browning,ART Grand Prix,+1.614,14,14
15,6,Ritomo Miyata,Rodin Motorsport,+1.641,15,15
16,24,Joshua Dürksen,AIX Racing,+1.730,16,16
17,5,Zane Maloney,Rodin Motorsport,+1.746,17,17
18,16,Amaury Cordeel,Hitech Pulse-Eight,+1.926,18,18
19,14,John Bennett,Van Amersfoort Racing,+2.163,19,19
20,23,Christian Mansell,Trident,+2.274,20,20
21,15,Rafael Villagómez,Van Amersfoort Racing,+2.937,21,21
22,25,Cian Shields,AIX Racing,+3.221,22,22
