Pos.,No.,Driver,Team,Time,Grid
1,8,David Beckmann,Trident,2:04.335,1
2,2,Anthoine Hubert,ART Grand Prix,2:04.479,2
3,5,Pedro Piquet,Trident,2:04.529,3
4,4,Jake Hughes,ART Grand Prix,2:04.530,4
5,3,Nikita Mazepin,ART Grand Prix,2:04.538,5
6,1,Callum Ilott,ART Grand Prix,2:04.549,6
7,19,Simo Laaksonen,Campos Racing,2:04.633,7
8,7,Ryan Tveter,Trident,2:04.677,8
9,6,Giuliano Alesi,Trident,2:04.685,9
10,16,Joey Mawson,Arden International,2:04.712,10
11,9,Tatiana Calderón,Jenzer Motorsport,2:04.804,11
12,18,Leonardo Pulcini,Campos Racing,2:04.945,12
13,10,Juan Manuel Correa,Jenzer Motorsport,2:05.068,13
14,14,Gabriel Aubry,Arden International,2:05.135,14
15,22,Richard Verschoor,MP Motorsport,2:05.269,15
16,15,Julien Falchero,Arden International,2:05.278,16
17,24,Niko Kari,MP Motorsport,2:05.296,17
18,20,Diego Menchaca,Campos Racing,2:05.782,18
19,23,Devlin DeFrancesco,MP Motorsport,2:05.974,19
20,11,Jannes Fittje,Jenzer Motorsport,2:06.036,20
