Pos.,No.,Driver,Team,Time,Grid
1,22,Dorian Boccolacci,MP Motorsport,1:50.615,1
2,2,Anthoine Hubert,ART Grand Prix,1:50.697,2
3,6,Giuliano Alesi,Trident,1:50.708,3
4,3,Nikita Mazepin,ART Grand Prix,1:50.861,4
5,18,Leonardo Pulcini,Campos Racing,1:50.880,5
6,24,Niko Kari,MP Motorsport,1:50.900,6
7,1,Callum Ilott,ART Grand Prix,1:50.904,7
8,8,Alessio Lorandi,Trident,1:51.108,8
9,5,Pedro Piquet,Trident,1:51.134,9
10,16,Joey Mawson,Arden International,1:51.180,10
11,23,Christian Lundgaard,MP Motorsport,1:51.266,11
12,4,Jake Hughes,ART Grand Prix,1:51.308,12
13,9,Tatiana Calderón,Jenzer Motorsport,1:51.338,13
14,11,David Beckmann,Jenzer Motorsport,1:51.409,14
15,7,Ryan Tveter,Trident,1:51.450,15
16,10,Juan Manuel Correa,Jenzer Motorsport,1:51.470,16
17,19,Simo Laaksonen,Campos Racing,1:51.614,17
18,14,Gabriel Aubry,Arden International,1:51.631,18
19,15,Julien Falchero,Arden International,1:51.758,19
20,20,Diego Menchaca,Campos Racing,1:51.797,20
