Pos.,No.,Driver,Team,Time,Grid
1,1,Callum Ilott,ART Grand Prix,1:19.209,1
2,4,Jake Hughes,ART Grand Prix,1:19.246,2
3,8,Alessio Lorandi,Trident,1:19.276,3
4,18,Leonardo Pulcini,Campos Racing,1:19.344,4
5,3,Nikita Mazepin,ART Grand Prix,1:19.351,5
6,5,Pedro Piquet,Trident,1:19.400,6
7,22,Dorian Boccolacci,MP Motorsport,1:19.453,7
8,7,Ryan Tveter,Trident,1:19.487,8
9,14,Gabriel Aubry,Arden International,1:19.502,9
10,6,Giuliano Alesi,Trident,1:19.549,10
11,10,Juan Manuel Correa,Jenzer Motorsport,1:19.592,11
12,19,Simo Laaksonen,Campos Racing,1:19.606,12
13,16,Joey Mawson,Arden International,1:19.718,13
14,11,David Beckmann,Jenzer Motorsport,1:19.782,14
15,20,Diego Menchaca,Campos Racing,1:19.807,15
16,24,Niko Kari,MP Motorsport,1:19.902,16
17,9,Tatiana Calderón,Jenzer Motorsport,1:19.974,17
18,15,Julien Falchero,Arden International,1:19.995,18
19,2,Anthoine Hubert,ART Grand Prix,1:20.003,19
20,23,Devlin DeFrancesco,MP Motorsport,1:20.191,20
