Pos.,No.,Driver,Team,Time,Grid
1,18,Leonardo Pulcini,Campos Racing,1:52.586,1
2,1,Callum Ilott,ART Grand Prix,1:52.655,2
3,6,Giuliano Alesi,Trident,1:52.664,3
4,2,Anthoine Hubert,ART Grand Prix,1:52.798,4
5,7,Ryan Tveter,Trident,1:52.826,5
6,19,Simo Laaksonen,Campos Racing,1:52.844,6
7,22,Richard Verschoor,MP Motorsport,1:52.865,7
8,3,Nikita Mazepin,ART Grand Prix,1:52.951,8
9,16,Joey Mawson,Arden International,1:53.178,9
10,4,Jake Hughes,ART Grand Prix,1:53.218,10
11,5,Pedro Piquet,Trident,1:53.262,11
12,10,Juan Manuel Correa,Jenzer Motorsport,1:53.362,12
13,15,Sacha Fenestraz,Arden International,1:53.435,13
14,9,Tatiana Calderón,Jenzer Motorsport,1:53.661,14
15,8,David Beckmann,Trident,1:53.765,15
16,23,Devlin DeFrancesco,MP Motorsport,1:53.992,16
17,14,Gabriel Aubry,Arden International,1:54.007,17
18,20,Diego Menchaca,Campos Racing,1:54.614,18
19,11,Jannes Fittje,Jenzer Motorsport,1:54.846,19
