Pos.,No.,Driver,Team,Time,Grid
1,2,Anthoine Hubert,ART Grand Prix,1:46.033,1
2,3,Nikita Mazepin,ART Grand Prix,1:46.135,2
3,6,Giuliano Alesi,Trident,1:46.271,3
4,1,Callum Ilott,ART Grand Prix,1:46.348,4
5,7,Ryan Tveter,Trident,1:46.705,5
6,8,Alessio Lorandi,Trident,1:46.706,6
7,22,Dorian Boccolacci,MP Motorsport,1:46.710,7
8,4,Jake Hughes,ART Grand Prix,1:46.712,8
9,18,Leonardo Pulcini,Campos Racing,1:46.790,9
10,19,Simo Laaksonen,Campos Racing,1:46.871,10
11,5,Pedro Piquet,Trident,1:46.907,11
12,20,Diego Menchaca,Campos Racing,1:46.987,12
13,16,Joey Mawson,Arden International,1:47.094,13
14,15,Julien Falchero,Arden International,1:47.145,14
15,10,Juan Manuel Correa,Jenzer Motorsport,1:47.159,15
16,11,David Beckmann,Jenzer Motorsport,1:47.187,16
17,9,Tatiana Calderón,Jenzer Motorsport,1:47.233,17
18,23,Devlin DeFrancesco,MP Motorsport,1:47.304,18
19,24,Niko Kari,MP Motorsport,1:47.311,19
20,14,Gabriel Aubry,Arden International,1:47.315,20
