Pos.,No.,Driver,Entrant,Time/Gap,GridSR,GridFR
1,17,Alex Dunne,Rodin Motorsport,1:21.142,10,1
1,14,Victor Martins,ART Grand Prix,1:21.145,9,2
2,1,Leonardo Fornaroli,Invicta Racing,+0.546,8,3
2,6,Richard Verschoor,MP Motorsport,+0.375,7,4
3,9,Sebastián Montoya,Prema Racing,+0.598,6,5
3,4,Arvid Lindblad,Campos Racing,+0.398,5,6
4,11,Jak Crawford,DAMS Lucas Oil,+0.617,4,7
4,10,Gabriele Minì,Prema Racing,+0.436,3,8
5,7,Luke Browning,HitechTGR,+0.675,2,9
5,12,Kush Maini,DAMS Lucas Oil,+0.533,1,10
6,15,Ritomo Miyata,ART Grand Prix,+1.037,11,11
6,20,Joshua Dürksen,AIX Racing,+0.645,12,12
7,5,Oliver Goethe,MP Motorsport,+1.203,13,13
7,2,Roman Staněk,Invicta Racing,+0.764,14,14
8,3,Pepe Martí,Campos Racing,+1.312,15,15
8,16,Amaury Cordeel,Rodin Motorsport,+1.076,16,16
9,23,Max Esterson,Trident,+1.504,17,17
9,8,Dino Beganovic,HitechTGR,+1.154,18,18
10,21,Cian Shields,AIX Racing,+3.300,19,19
10,22,Sami Meguetounif,Trident,+1.185,20,20
11,24,John Bennett,Van Amersfoort Racing,+1.842,21,21
—,25,Rafael Villagómez,Van Amersfoort Racing,No time1,22,22
