Pos.,No.,Driver,Entrant,Time/Gap,GridSR,GridFR
1,4,Arvid Lindblad,Campos Racing,1:25.180,9,1
2,9,Sebastián Montoya,Prema Racing,+0.245,8,2
3,12,Kush Maini,DAMS Lucas Oil,+0.330,7,3
4,2,Roman Staněk,Invicta Racing,+0.339,6,4
5,17,Alex Dunne,Rodin Motorsport,+0.432,191,81
6,6,Richard Verschoor,MP Motorsport,+0.478,5,5
7,11,Jak Crawford,DAMS Lucas Oil,+0.548,4,6
8,7,Luke Browning,HitechTGR,+0.562,3,7
9,20,Joshua Dürksen,AIX Racing,+0.570,2,9
10,1,Leonardo Fornaroli,Invicta Racing,+0.575,1,10
11,3,Pepe Martí,Campos Racing,+0.590,10,11
12,8,Dino Beganovic,HitechTGR,+0.605,11,12
13,5,Oliver Goethe,MP Motorsport,+0.630,12,13
14,15,Ritomo Miyata,ART Grand Prix,+0.636,13,14
15,14,Victor Martins,ART Grand Prix,+0.680,14,15
16,23,Max Esterson,Trident,+0.702,15,16
17,16,Amaury Cordeel,Rodin Motorsport,+0.802,16,17
18,10,Gabriele Minì,Prema Racing,+1.020,17,18
19,22,Sami Meguetounif,Trident,+1.080,18,19
20,21,Cian Shields,AIX Racing,+1.146,20,20
21,24,John Bennett,Van Amersfoort Racing,+1.181,21,21
22,25,Rafael Villagómez,Van Amersfoort Racing,+1.716,22,22
