Pos.,No.,Driver,Team,Time,Grid
1,27,Jehan Daruvala,Prema Racing,2:05.125,1
2,18,Pedro Piquet,Trident,2:05.356,2
3,14,Yuki Tsunoda,Jenzer Motorsport,2:05.540,3
4,28,Robert Shwartzman,Prema Racing,2:05.605,4
5,11,Jake Hughes,HWA Racelab,2:05.614,5
6,21,Jüri Vips,Hitech Grand Prix,2:05.625,6
7,17,Devlin DeFrancesco,Trident,2:05.640,7
8,20,Leonardo Pulcini,Hitech Grand Prix,2:05.701,8
9,31,Logan Sargeant,Carlin Buzz Racing,2:05.709,9
10,4,Liam Lawson,MP Motorsport,2:06.060,10
11,23,Alex Peroni,Campos Racing,2:06.187,11
12,2,Max Fewtrell,ART Grand Prix,2:06.207,12
13,6,Richard Verschoor,MP Motorsport,2:06.255,13
14,3,Christian Lundgaard,ART Grand Prix,2:06.270,14
15,22,Ye Yifei,Hitech Grand Prix,2:06.274,15
16,10,Bent Viscaal,HWA Racelab,2:06.289,16
17,1,David Beckmann,ART Grand Prix,2:06.333,17
18,15,Giorgio Carrara,Jenzer Motorsport,2:06.396,18
19,26,Marcus Armstrong,Prema Racing,2:06.400,19
20,29,Teppei Natori,Carlin Buzz Racing,2:06.420,20
21,19,Niko Kari,Trident,2:06.475,21
22,12,Keyvan Andres,HWA Racelab,2:06.537,22
23,30,Felipe Drugovich,Carlin Buzz Racing,2:06.606,23
24,9,Raoul Hyman,Sauber Junior Team by Charouz,2:06.614,24
25,25,Sebastián Fernández,Campos Racing,2:07.251,25
26,16,Andreas Estner,Jenzer Motorsport,2:07.475,26
27,5,Simo Laaksonen,MP Motorsport,2:07.503,27
28,8,Fabio Scherer,Sauber Junior Team by Charouz,2:08.014,28
29,7,Lirim Zendeli,Sauber Junior Team by Charouz,2:08.076,30
30,24,Alessio Deledda,Campos Racing,2:08.898,29
