Pos.,No.,Driver,Team,Time,Grid
1,11,Jake Hughes,HWA Racelab,1:49.519,1
2,27,Jehan Daruvala,Prema Racing,1:49.606,2
3,28,Robert Shwartzman,Prema Racing,1:49.758,3
4,18,Pedro Piquet,Trident,1:49.944,4
5,26,Marcus Armstrong,Prema Racing,1:50.066,5
6,20,Leonardo Pulcini,Hitech Grand Prix,1:50.095,6
7,21,Jüri Vips,Hitech Grand Prix,1:50.128,7
8,10,Bent Viscaal,HWA Racelab,1:50.192,8
9,19,Niko Kari,Trident,1:50.253,9
10,23,Alex Peroni,Campos Racing,1:50.316,10
11,31,Logan Sargeant,Carlin Racing,1:50.345,11
12,3,Christian Lundgaard,ART Grand Prix,1:50.378,12
13,6,Richard Verschoor,MP Motorsport,1:50.451,13
14,2,Max Fewtrell,ART Grand Prix,1:50.456,14
15,4,Liam Lawson,MP Motorsport,1:50.468,15
16,22,Ye Yifei,Hitech Grand Prix,1:50.491,16
17,7,Lirim Zendeli,Sauber Junior Team by Charouz,1:50.510,17
18,30,Felipe Drugovich,Carlin Racing,1:50.549,18
19,17,Devlin DeFrancesco,Trident,1:50.566,19
20,5,Simo Laaksonen,MP Motorsport,1:50.585,20
21,29,Teppei Natori,Carlin Racing,1:50.673,21
22,1,David Beckmann,ART Grand Prix,1:50.716,22
23,8,Fabio Scherer,Sauber Junior Team by Charouz,1:50.749,23
24,9,Raoul Hyman,Sauber Junior Team by Charouz,1:50.791,24
25,12,Keyvan Andres,HWA Racelab,1:51.068,25
26,25,Sebastián Fernández,Campos Racing,1:51.272,26
27,14,Yuki Tsunoda,Jenzer Motorsport,1:51.987,27
28,16,Andreas Estner,Jenzer Motorsport,1:52.066,28
29,24,Alessio Deledda,Campos Racing,1:54.226,29
