Pos.,No.,Driver,Team,Time,Grid
1,28,Robert Shwartzman,Prema Racing,1:31.975,1
2,3,Christian Lundgaard,ART Grand Prix,1:32.083,2
3,26,Marcus Armstrong,Prema Racing,1:32.427,3
4,27,Jehan Daruvala,Prema Racing,1:32.529,4
5,31,Logan Sargeant,Carlin Buzz Racing,1:32.660,5
6,5,Simo Laaksonen,MP Motorsport,1:32.755,6
7,1,David Beckmann,ART Grand Prix,1:32.829,7
8,2,Max Fewtrell,ART Grand Prix,1:32.857,8
9,23,Alex Peroni,Campos Racing,1:32.863,9
10,14,Yuki Tsunoda,Jenzer Motorsport,1:32.875,10
11,21,Jüri Vips,Hitech Grand Prix,1:32.876,11
12,19,Niko Kari,Trident,1:32.878,12
13,18,Pedro Piquet,Trident,1:32.880,13
14,7,Lirim Zendeli,Sauber Junior Team by Charouz,1:32.934,14
15,6,Richard Verschoor,MP Motorsport,1:32.949,15
16,10,Bent Viscaal,HWA Racelab,1:33.010,16
17,8,Fabio Scherer,Sauber Junior Team by Charouz,1:33.022,17
18,20,Leonardo Pulcini,Hitech Grand Prix,1:33.103,18
19,4,Liam Lawson,MP Motorsport,1:33.150,19
20,30,Felipe Drugovich,Carlin Buzz Racing,1:33.313,20
21,12,Keyvan Andres,HWA Racelab,1:33.430,21
22,22,Ye Yifei,Hitech Grand Prix,1:33.475,22
23,25,Sebastián Fernández,Campos Racing,1:33.508,23
24,17,Devlin DeFrancesco,Trident,1:33.545,24
25,9,Raoul Hyman,Sauber Junior Team by Charouz,1:33.564,25
26,15,Artem Petrov,Jenzer Motorsport,1:33.714,26
27,16,Andreas Estner,Jenzer Motorsport,1:33.962,27
28,29,Teppei Natori,Carlin Buzz Racing,1:34.054,28
29,11,Jake Hughes,HWA Racelab,1:34.173,29
—,24,Alessio Deledda,Campos Racing,No time,30
