Pos.,No.,Driver,Team,Time,Grid
1,3,Christian Lundgaard,ART Grand Prix,1:38.834,1
2,26,Marcus Armstrong,Prema Racing,1:38.969,2
3,28,Robert Shwartzman,Prema Racing,1:39.037,3
4,27,Jehan Daruvala,Prema Racing,1:39.055,4
5,7,Lirim Zendeli,Sauber Junior Team by Charouz,1:39.177,5
6,29,Teppei Natori,Carlin Buzz Racing,1:39.303,6
7,2,Max Fewtrell,ART Grand Prix,1:39.307,7
8,6,Richard Verschoor,MP Motorsport,1:39.312,8
9,19,Niko Kari,Trident,1:39.343,9
10,15,Giorgio Carrara,Jenzer Motorsport,1:39.344,10
11,14,Yuki Tsunoda,Jenzer Motorsport,1:39.437,11
12,11,Jake Hughes,HWA Racelab,1:39.444,12
13,4,Liam Lawson,MP Motorsport,1:39.505,13
14,18,Pedro Piquet,Trident,1:39.511,14
15,21,Jüri Vips,Hitech Grand Prix,1:39.645,15
16,31,Logan Sargeant,Carlin Buzz Racing,1:39.717,16
17,1,David Beckmann,ART Grand Prix,1:39.788,17
18,23,Alex Peroni,Campos Racing,1:39.830,18
19,5,Simo Laaksonen,MP Motorsport,1:40.068,19
20,12,Keyvan Andres,HWA Racelab,1:40.084,20
21,10,Bent Viscaal,HWA Racelab,1:40.097,21
22,20,Leonardo Pulcini,Hitech Grand Prix,1:40.108,22
23,17,Devlin DeFrancesco,Trident,1:40.114,23
24,25,Sebastián Fernández,Campos Racing,1:40.190,24
25,8,Fabio Scherer,Sauber Junior Team by Charouz,1:40.258,25
26,30,Felipe Drugovich,Carlin Buzz Racing,1:40.370,26
27,22,Ye Yifei,Hitech Grand Prix,1:40.639,27
28,9,Raoul Hyman,Sauber Junior Team by Charouz,1:41.052,28
29,24,Alessio Deledda,Campos Racing,1:41.161,29
30,16,Andreas Estner,Jenzer Motorsport,1:42.031,30
