Pos.,No.,Driver,Team,Time,Grid
1,6,Jüri Vips,Hitech Grand Prix,2:04.997,1
2,5,Robert Shwartzman,SJM Prema Theodore Racing,2:05.376,2
3,25,Callum Ilott,Sauber Junior Team by Charouz,2:05.580,3
4,9,Christian Lundgaard,ART Grand Prix,2:05.669,4
5,21,Richard Verschoor,MP Motorsport,2:05.723,5
6,16,Jake Hughes,HWA Racelab,2:05.774,6
7,3,Frederik Vesti,SJM Prema Theodore Racing,2:05.776,7
8,22,Arjun Maini,Jenzer Motorsport,2:05.814,8
9,2,Marcus Armstrong,SJM Prema Theodore Racing,2:05.955,9
10,28,Logan Sargeant,Carlin Buzz Racing,2:06.043,10
11,10,Ferdinand Habsburg,ART Grand Prix,2:06.209,11
12,7,Max Fewtrell,Hitech Grand Prix,2:06.368,12
13,30,Dan Ticktum,Carlin Buzz Racing,2:06.406,13
14,15,Alessio Lorandi,Trident Motorsport,2:06.428,14
15,20,Liam Lawson,MP Motorsport,2:06.455,15
16,29,Felipe Drugovich,Carlin Buzz Racing,2:06.637,16
17,12,Olli Caldwell,Trident Motorsport,2:06.641,17
18,11,Sebastián Fernández,ART Grand Prix,2:06.717,18
19,14,David Beckmann,Trident Motorsport,2:08.273,19
20,32,Enaam Ahmed,Campos Racing,2:07.146,20
21,8,Yuki Tsunoda,Hitech Grand Prix,2:07.307,24
22,17,Keyvan Andres,HWA Racelab,2:07.579,21
23,26,David Schumacher,Sauber Junior Team by Charouz,2:07.587,22
24,19,Lukas Dunner,MP Motorsport,2:07.892,23
25,33,Leonardo Pulcini,Campos Racing,2:10.001,25
26,24,Andreas Estner,Jenzer Motorsport,2:08.651,26
27,18,Sophia Flörsch,HWA Racelab,2:09.259,27
28,23,Hon Chio Leong,Jenzer Motorsport,2:09.568,28
29,31,Alessio Deledda,Campos Racing,2:10.114,29
30,27,Enzo Fittipaldi,Sauber Junior Team by Charouz,2:10.124,30
