Pos.,No.,Driver,Team,Time,Grid
1,28,Robert Shwartzman,Prema Racing,1:52.583,1
2,27,Jehan Daruvala,Prema Racing,1:52.775,2
3,26,Marcus Armstrong,Prema Racing,1:52.853,3
4,19,Niko Kari,Trident,1:53.191,4
5,3,Christian Lundgaard,ART Grand Prix,1:53.274,5
6,11,Jake Hughes,HWA Racelab,1:53.340,6
7,18,Pedro Piquet,Trident,1:53.349,7
8,20,Leonardo Pulcini,Hitech Grand Prix,1:53.451,8
9,21,Jüri Vips,Hitech Grand Prix,1:53.530,9
10,2,Max Fewtrell,ART Grand Prix,1:53.539,10
11,30,Felipe Drugovich,Carlin Buzz Racing,1:53.550,11
12,31,Logan Sargeant,Carlin Buzz Racing,1:53.643,12
13,6,Richard Verschoor,MP Motorsport,1:53.824,13
14,10,Bent Viscaal,HWA Racelab,1:53.842,14
15,9,Raoul Hyman,Sauber Junior Team by Charouz,1:53.877,15
16,17,Devlin DeFrancesco,Trident,1:53.882,16
17,14,Yuki Tsunoda,Jenzer Motorsport,1:53.938,17
18,22,Ye Yifei,Hitech Grand Prix,1:53.943,18
19,29,Teppei Natori,Carlin Buzz Racing,1:54.001,19
20,25,Sebastián Fernández,Campos Racing,1:54.046,20
21,7,Lirim Zendeli,Sauber Junior Team by Charouz,1:54.112,21
22,8,Fabio Scherer,Sauber Junior Team by Charouz,1:54.145,22
23,4,Liam Lawson,MP Motorsport,1:54.557,23
24,5,Simo Laaksonen,MP Motorsport,1:54.757,24
25,23,David Schumacher,Campos Racing,1:54.889,25
26,16,Andreas Estner,Jenzer Motorsport,1:54.912,26
27,12,Keyvan Andres,HWA Racelab,1:55.068,27
28,24,Alessio Deledda,Campos Racing,1:56.251,28
29,15,Hon Chio Leong,Jenzer Motorsport,1:57.166,29
