Pos.,No.,Driver,Team,Time,Grid
1,21,Jüri Vips,Hitech Grand Prix,1:43.902,1
2,26,Marcus Armstrong,Prema Racing,1:43.998,2
3,27,Jehan Daruvala,Prema Racing,1:44.014,3
4,3,Christian Lundgaard,ART Grand Prix,1:44.073,4
5,20,Leonardo Pulcini,Hitech Grand Prix,1:44.139,5
6,28,Robert Shwartzman,Prema Racing,1:44.218,6
7,4,Liam Lawson,MP Motorsport,1:44.360,7
8,18,Pedro Piquet,Trident,1:44.403,8
9,8,Fabio Scherer,Sauber Junior Team by Charouz,1:44.433,9
10,22,Ye Yifei,Hitech Grand Prix,1:44.461,10
11,11,Jake Hughes,HWA Racelab,1:44.462,11
12,19,Niko Kari,Trident,1:44.476,12
13,1,David Beckmann,ART Grand Prix,1:44.581,13
14,2,Max Fewtrell,ART Grand Prix,1:44.584,14
15,9,Raoul Hyman,Sauber Junior Team by Charouz,1:44.647,15
16,31,Logan Sargeant,Carlin Buzz Racing,1:44.746,16
17,7,Lirim Zendeli,Sauber Junior Team by Charouz,1:44.756,17
18,6,Richard Verschoor,MP Motorsport,1:44.967,18
19,25,Sebastián Fernández,Campos Racing,1:44.984,19
20,30,Felipe Drugovich,Carlin Buzz Racing,1:45.020,20
21,23,Alex Peroni,Campos Racing,1:45.088,21
22,17,Devlin DeFrancesco,Trident,1:45.109,22
23,12,Keyvan Andres,HWA Racelab,1:45.110,23
24,5,Simo Laaksonen,MP Motorsport,1:45.142,24
25,10,Bent Viscaal,HWA Racelab,1:45.229,25
26,14,Yuki Tsunoda,Jenzer Motorsport,1:45.301,26
27,16,Andreas Estner,Jenzer Motorsport,1:45.435,27
28,29,Teppei Natori,Carlin Buzz Racing,1:45.590,28
29,15,Federico Malvestiti,Jenzer Motorsport,1:46.103,29
30,24,Alessio Deledda,Campos Racing,1:47.068,30
