Pos.,No.,Driver,Team,Time,Grid
1,26,Marcus Armstrong,Prema Racing,1:19.716,1
2,2,Max Fewtrell,ART Grand Prix,1:19.839,2
3,21,Jüri Vips,Hitech Grand Prix,1:19.896,3
4,27,Jehan Daruvala,Prema Racing,1:19.934,4
5,11,Jake Hughes,HWA Racelab,1:20.075,5
6,20,Leonardo Pulcini,Hitech Grand Prix,1:20.188,6
7,18,Pedro Piquet,Trident,1:20.190,7
8,25,Sebastián Fernández,Campos Racing,1:20.204,8
9,7,Lirim Zendeli,Sauber Junior Team by Charouz,1:20.234,9
10,28,Robert Shwartzman,Prema Racing,1:20.277,10
11,10,Bent Viscaal,HWA Racelab,1:20.301,11
12,6,Richard Verschoor,MP Motorsport,1:20.308,12
13,17,Devlin DeFrancesco,Trident,1:20.323,13
14,23,Alex Peroni,Campos Racing,1:20.328,14
15,4,Liam Lawson,MP Motorsport,1:20.386,15
16,30,Felipe Drugovich,Carlin Buzz Racing,1:20.407,16
17,5,Simo Laaksonen,MP Motorsport,1:20.427,17
18,19,Niko Kari,Trident,1:20.476,18
19,29,Teppei Natori,Carlin Buzz Racing,1:20.539,19
20,15,Giorgio Carrara,Jenzer Motorsport,1:20.592,20
21,22,Ye Yifei,Hitech Grand Prix,1:20.662,21
22,31,Logan Sargeant,Carlin Buzz Racing,1:20.673,22
23,8,Fabio Scherer,Sauber Junior Team by Charouz,1:20.778,23
24,9,Raoul Hyman,Sauber Junior Team by Charouz,1:20.887,24
25,14,Yuki Tsunoda,Jenzer Motorsport,1:20.959,25
26,12,Keyvan Andres,HWA Racelab,1:21.319,27
27,16,Andreas Estner,Jenzer Motorsport,1:21.658,26
28,24,Alessio Deledda,Campos Racing,1:21.935,28
DSQ,3,Christian Lundgaard,ART Grand Prix,,29
DSQ,1,David Beckmann,ART Grand Prix,,30
