Pos.,No.,Driver,Team,Time,Grid
1,3,Christian Lundgaard,ART Grand Prix,1:31.761,1
2,21,Jüri Vips,Hitech Grand Prix,1:31.886,2
3,2,Max Fewtrell,ART Grand Prix,1:31.897,3
4,28,Robert Shwartzman,Prema Racing,1:31.903,4
5,19,Niko Kari,Trident,1:31.974,5
6,18,Pedro Piquet,Trident,1:31.987,6
7,11,Jake Hughes,HWA Racelab,1:32.037,7
8,1,David Beckmann,ART Grand Prix,1:32.077,8
9,14,Yuki Tsunoda,Jenzer Motorsport,1:32.197,9
10,30,Felipe Drugovich,Carlin Buzz Racing,1:32.356,10
11,20,Leonardo Pulcini,Hitech Grand Prix,1:32.375,11
12,25,Sebastián Fernández,Campos Racing,1:32.376,12
13,26,Marcus Armstrong,Prema Racing,1:32.385,13
14,23,Alex Peroni,Campos Racing,1:32.402,14
15,9,Raoul Hyman,Sauber Junior Team by Charouz,1:32.486,15
16,6,Richard Verschoor,MP Motorsport,1:32.565,16
17,27,Jehan Daruvala,Prema Racing,1:32.593,17
18,22,Ye Yifei,Hitech Grand Prix,1:32.621,18
19,31,Logan Sargeant,Carlin Buzz Racing,1:32.692,19
20,4,Liam Lawson,MP Motorsport,1:32.695,20
21,29,Teppei Natori,Carlin Buzz Racing,1:32.727,21
22,8,Fabio Scherer,Sauber Junior Team by Charouz,1:32.873,22
23,5,Simo Laaksonen,MP Motorsport,1:32.945,23
24,7,Lirim Zendeli,Sauber Junior Team by Charouz,1:32.987,24
25,17,Devlin DeFrancesco,Trident,1:33.047,25
26,10,Bent Viscaal,HWA Racelab,1:33.064,26
27,12,Keyvan Andres,HWA Racelab,1:33.093,27
28,15,Giorgio Carrara,Jenzer Motorsport,1:33.372,28
29,16,Andreas Estner,Jenzer Motorsport,1:33.469,29
30,24,Alessio Deledda,Campos Racing,1:35.016,30
