Pos,Team,Points
1,Prema Powerteam,780
2,HitechGP,499
3,Motopark,431
4,Van Amersfoort Racing,416
5,kfzteile24 Mücke Motorsport,297
6,Carlin,238
7,Threebond with T-Sport,32
