Pos.,No.,Driver,Team,Time,Grid
1,6,Logan Sargeant,Carlin,1:38.432,1
2,9,Frederik Vesti,ART Grand Prix,1:38.539,2
3,11,Felipe Drugovich,MP Motorsport,1:38.553,3
4,10,Théo Pourchaire,ART Grand Prix,1:38.553,4
5,5,Liam Lawson,Carlin,1:38.625,5
6,17,Ayumu Iwasa,DAMS,1:38.734,6
7,3,Jack Doohan,Virtuosi Racing,1:38.901,7
8,8,Jüri Vips,Hitech Grand Prix,1:39.013,8
9,22,Enzo Fittipaldi,Charouz Racing System,1:39.077,9
10,2,Jehan Daruvala,Prema Racing,1:39.115,10
11,16,Roy Nissany,DAMS,1:39.222,11
12,7,Marcus Armstrong,Hitech Grand Prix,1:39.266,12
13,1,Dennis Hauger,Prema Racing,1:39.429,13
14,24,Jake Hughes,Van Amersfoort Racing,1:39.448,14
15,20,Richard Verschoor,Trident,1:39.492,15
16,14,Olli Caldwell,Campos Racing,1:39.580,16
17,15,Ralph Boschung,Campos Racing,1:39.597,—
18,12,Clément Novalak,MP Motorsport,1:39.660,17
19,4,Marino Sato,Virtuosi Racing,1:39.677,18
20,23,Cem Bölükbaşı,Charouz Racing System,1:39.691,19
21,21,Calan Williams,Trident,1:39.912,20
22,25,David Beckmann,Van Amersfoort Racing,1:40.291,21
