Pos.,No.,Driver,Team,Time,Grid
1,11,Felipe Drugovich,MP Motorsport,1:21.348,1
1,10,Théo Pourchaire,ART Grand Prix,1:21.535,2
2,3,Jack Doohan,Virtuosi Racing,1:21.432,3
2,8,Jüri Vips,Hitech Grand Prix,1:21.618,4
3,5,Liam Lawson,Carlin,1:21.499,5
3,22,Enzo Fittipaldi,Charouz Racing System,1:21.719,6
4,7,Marcus Armstrong,Hitech Grand Prix,1:21.734,7
4,2,Jehan Daruvala,Prema Racing,1:21.928,8
5,1,Dennis Hauger,Prema Racing,1:21.817,9
5,24,Jake Hughes,Van Amersfoort Racing,1:22.011,10
6,16,Roy Nissany,DAMS,1:22.017,11
6,17,Ayumu Iwasa,DAMS,1:21.902,12
7,6,Logan Sargeant,Carlin,1:22.072,13
7,21,Calan Williams,Trident,1:21.985,14
8,12,Clément Novalak,MP Motorsport,1:23.180,15
8,9,Frederik Vesti,ART Grand Prix,1:22.703,16
9,4,Marino Sato,Virtuosi Racing,1:23.241,17
9,25,Amaury Cordeel,Van Amersfoort Racing,1:22.762,18
10,14,Olli Caldwell,Campos Racing,1:23.498,19
10,23,Cem Bölükbaşı,Charouz Racing System,1:24.150,20
—,20,Richard Verschoor,Trident,1:29.993,21
WD,15,Ralph Boschung,Campos Racing,1:21.859,WD
