Pos.,No.,Driver,Team,Time,Grid
1,9,Frederik Vesti,ART Grand Prix,1:14.123,1
2,8,Jüri Vips,Hitech Grand Prix,1:14.158,2
3,6,Logan Sargeant,Carlin,1:14.288,3
4,17,Ayumu Iwasa,DAMS,1:14.307,4
5,11,Felipe Drugovich,MP Motorsport,1:14.315,5
6,3,Jack Doohan,Virtuosi Racing,1:14.318,6
7,25,Amaury Cordeel,Van Amersfoort Racing,1:14.457,7
8,20,Richard Verschoor,Trident,1:14.568,8
9,10,Théo Pourchaire,ART Grand Prix,1:14.616,9
10,7,Marcus Armstrong,Hitech Grand Prix,1:14.670,10
11,2,Jehan Daruvala,Prema Racing,1:14.702,11
12,22,Enzo Fittipaldi,Charouz Racing System,1:14.740,12
13,23,Cem Bölükbaşı,Charouz Racing System,1:14.765,13
14,5,Liam Lawson,Carlin,1:14.792,14
15,1,Dennis Hauger,Prema Racing,1:14.794,15
16,21,Calan Williams,Trident,1:14.836,16
17,16,Roy Nissany,DAMS,1:14.895,17
18,4,Marino Sato,Virtuosi Racing,1:14.936,18
19,24,Jake Hughes,Van Amersfoort Racing,1:15.005,19
20,12,Clément Novalak,MP Motorsport,1:15.123,20
21,15,Roberto Merhi,Campos Racing,1:15.200,21
22,14,Olli Caldwell,Campos Racing,1:15.656,22
