Pos.,No.,Driver,Team,Time,Grid
1,6,Logan Sargeant,Carlin,1:43.871,1
2,17,Ayumu Iwasa,DAMS,1:43.877,2
3,9,Frederik Vesti,ART Grand Prix,1:43.900,3
4,3,Jack Doohan,Virtuosi Racing,1:44.034,4
5,10,Théo Pourchaire,ART Grand Prix,1:44.161,5
6,11,Felipe Drugovich,MP Motorsport,1:44.241,6
7,8,Jüri Vips,Hitech Grand Prix,1:44.308,7
8,7,Marcus Armstrong,Hitech Grand Prix,1:44.377,8
9,5,Liam Lawson,Carlin,1:44.483,9
10,2,Jehan Daruvala,Prema Racing,1:44.626,10
11,20,Richard Verschoor,Trident,1:44.758,11
12,4,Marino Sato,Virtuosi Racing,1:44.839,12
13,21,Calan Williams,Trident,1:44.918,13
14,22,Enzo Fittipaldi,Charouz Racing System,1:45.035,14
15,15,Roberto Merhi,Campos Racing,1:45.101,15
16,12,Clément Novalak,MP Motorsport,1:45.117,16
17,24,David Beckmann,Van Amersfoort Racing,1:45.303,17
18,1,Dennis Hauger,Prema Racing,1:45.397,18
19,25,Amaury Cordeel,Van Amersfoort Racing,1:45.505,19
20,16,Roy Nissany,DAMS,1:45.742,20
21,14,Olli Caldwell,Campos Racing,1:45.743,21
22,23,Cem Bölükbaşı,Charouz Racing System,1:45.773,22
