Pos.,No.,Driver,Team,Time,Grid
1,11,Felipe Drugovich,MP Motorsport,1:40.422,1
2,20,Richard Verschoor,Trident,1:40.648,2
3,7,Marcus Armstrong,Hitech Grand Prix,1:41.050,3
4,15,Ralph Boschung,Campos Racing,1:41.057,4
5,5,Liam Lawson,Carlin,1:41.142,5
6,17,Ayumu Iwasa,DAMS,1:41.194,6
7,21,Calan Williams,Trident,1:41.469,7
8,8,Jüri Vips,Hitech Grand Prix,1:41.533,8
9,24,Jake Hughes,Van Amersfoort Racing,1:41.538,9
10,1,Dennis Hauger,Prema Racing,1:41.710,10
11,12,Clément Novalak,MP Motorsport,1:41.710,11
12,16,Roy Nissany,DAMS,1:41.971,12
13,4,Marino Sato,Virtuosi Racing,1:42.178,13
14,2,Jehan Daruvala,Prema Racing,1:42.181,14
15,22,Enzo Fittipaldi,Charouz Racing System,1:42.520,15
16,9,Frederik Vesti,ART Grand Prix,1:42.905,16
17,14,Olli Caldwell,Campos Racing,1:43.120,17
18,6,Logan Sargeant,Carlin,1:43.260,18
19,25,Amaury Cordeel,Van Amersfoort Racing,1:44.437,19
20,10,Théo Pourchaire,ART Grand Prix,1:44.736,20
—,23,Cem Bölükbaşı,Charouz Racing System,No time set
DSQ,3,Jack Doohan,Virtuosi Racing,1:41.024,21
