Pos.,No.,Driver,Team,Time,Grid
1,17,Ayumu Iwasa,DAMS,1:36.290,1
2,16,Roy Nissany,DAMS,1:36.326,2
3,10,Théo Pourchaire,ART Grand Prix,1:36.372,3
4,11,Felipe Drugovich,MP Motorsport,1:36.482,4
5,3,Jack Doohan,Virtuosi Racing,1:36.510,5
6,6,Logan Sargeant,Carlin,1:36.514,6
7,1,Dennis Hauger,Prema Racing,1:36.550,7
8,25,Amaury Cordeel,Van Amersfoort Racing,1:36.578,8
9,5,Liam Lawson,Carlin,1:36.588,9
10,20,Richard Verschoor,Trident,1:36.588,10
11,7,Marcus Armstrong,Hitech Grand Prix,1:36.619,11
12,2,Jehan Daruvala,Prema Racing,1:36.630,12
13,22,Enzo Fittipaldi,Charouz Racing System,1:36.680,13
14,15,Ralph Boschung,Campos Racing,1:36.685,14
15,8,Jüri Vips,Hitech Grand Prix,1:36.794,15
16,9,Frederik Vesti,ART Grand Prix,1:37.023,16
17,12,Clément Novalak,MP Motorsport,1:37.045,17
18,24,Juan Manuel Correa,Van Amersfoort Racing,1:37.084,18
19,21,Zane Maloney,Trident,1:37.100,19
20,14,Olli Caldwell,Campos Racing,1:37.208,20
21,23,Tatiana Calderón,Charouz Racing System,1:37.828,21
—,4,Marino Sato,Virtuosi Racing,1:59.745,22
