Pos.,No.,Driver,Team,Time,Grid
1,11,Felipe Drugovich,MP Motorsport,1:58.232,1
2,22,Enzo Fittipaldi,Charouz Racing System,1:58.615,2
3,6,Logan Sargeant,Carlin,1:58.781,3
4,3,Jack Doohan,Virtuosi Racing,1:58.783,4
5,24,David Beckmann,Van Amersfoort Racing,1:58.797,5
6,5,Liam Lawson,Carlin,1:58.976,6
7,20,Richard Verschoor,Trident,1:59.018,7
8,10,Théo Pourchaire,ART Grand Prix,1:59.061,8
9,2,Jehan Daruvala,Prema Racing,1:59.114,9
10,15,Ralph Boschung,Campos Racing,1:59.126,10
11,1,Dennis Hauger,Prema Racing,1:59.161,11
12,7,Marcus Armstrong,Hitech Grand Prix,1:59.177,12
13,17,Ayumu Iwasa,DAMS,1:59.179,13
14,9,Frederik Vesti,ART Grand Prix,1:59.284,14
15,16,Roy Nissany,DAMS,1:59.302,15
16,12,Clément Novalak,MP Motorsport,1:59.380,16
17,4,Marino Sato,Virtuosi Racing,1:59.523,17
18,21,Calan Williams,Trident,1:59.526,18
19,14,Lirim Zendeli,Campos Racing,1:59.704,19
20,25,Amaury Cordeel,Van Amersfoort Racing,1:59.820,20
21,23,Tatiana Calderón,Charouz Racing System,2:00.531,21
—,8,Jüri Vips,Hitech Grand Prix,2:36.671,22
