Pos.,No.,Driver,Team,Time,Grid
1,3,Jack Doohan,Virtuosi Racing,1:28.612,1
2,8,Jüri Vips,Hitech Grand Prix,1:28.635,2
3,9,Frederik Vesti,ART Grand Prix,1:28.852,3
4,2,Jehan Daruvala,Prema Racing,1:28.884,4
5,6,Logan Sargeant,Carlin,1:28.967,5
6,17,Ayumu Iwasa,DAMS,1:28.977,6
7,10,Théo Pourchaire,ART Grand Prix,1:29.001,7
8,24,Jake Hughes,Van Amersfoort Racing,1:29.067,8
9,21,Calan Williams,Trident,1:29.164,9
10,11,Felipe Drugovich,MP Motorsport,1:29.190,10
11,22,Enzo Fittipaldi,Charouz Racing System,1:29.205,11
12,12,Clément Novalak,MP Motorsport,1:29.367,12
13,7,Marcus Armstrong,Hitech Grand Prix,1:29.375,13
14,1,Dennis Hauger,Prema Racing,1:29.381,14
15,25,Amaury Cordeel,Van Amersfoort Racing,1:29.381,15
16,5,Liam Lawson,Carlin,1:29.488,16
17,16,Roy Nissany,DAMS,1:29.515,17
18,14,Olli Caldwell,Campos Racing,1:29.885,18
19,4,Marino Sato,Virtuosi Racing,1:29.927,19
20,20,Richard Verschoor,Trident,1:30.216,20
21,23,Cem Bölükbaşı,Charouz Racing System,1:30.216,21
—,15,Ralph Boschung,Campos Racing,No time set
