Pos.,No.,Driver,Team,Time,Grid
1,17,Ayumu Iwasa,DAMS,1:27.930,1
2,7,Marcus Armstrong,Hitech Grand Prix,1:28.311,2
3,11,Felipe Drugovich,MP Motorsport,1:28.340,3
4,10,Théo Pourchaire,ART Grand Prix,1:28.359,4
5,6,Logan Sargeant,Carlin,1:28.381,5
6,8,Jüri Vips,Hitech Grand Prix,1:28.391,6
7,9,Frederik Vesti,ART Grand Prix,1:28.562,7
8,1,Dennis Hauger,Prema Racing,1:28.604,8
9,22,Enzo Fittipaldi,Charouz Racing System,1:28.686,9
10,3,Jack Doohan,Virtuosi Racing,1:28.691,10
11,5,Liam Lawson,Carlin,1:28.750,11
12,2,Jehan Daruvala,Prema Racing,1:28.786,12
13,14,Olli Caldwell,Campos Racing,1:28.803,13
14,20,Richard Verschoor,Trident,1:28.849,14
15,4,Marino Sato,Virtuosi Racing,1:29.018,15
16,23,Cem Bölükbaşı,Charouz Racing System,1:29.102,16
17,24,David Beckmann,Van Amersfoort Racing,1:29.343,17
18,21,Calan Williams,Trident,1:29.346,18
19,12,Clément Novalak,MP Motorsport,1:29.481,19
20,15,Roberto Merhi,Campos Racing,1:29.547,20
21,16,Roy Nissany,DAMS,1:29.606,21
22,25,Amaury Cordeel,Van Amersfoort Racing,1:29.792,22
