Pos.,No.,Driver,Team,Time,Grid
1,8,Jüri Vips,Hitech Grand Prix,1:53.762,1
2,5,Liam Lawson,Carlin,1:53.925,2
3,1,Dennis Hauger,Prema Racing,1:53.973,3
4,7,Marcus Armstrong,Hitech Grand Prix,1:53.977,4
5,11,Felipe Drugovich,MP Motorsport,1:54.000,5
6,20,Richard Verschoor,Trident,1:54.029,6
7,6,Logan Sargeant,Carlin,1:54.194,7
8,2,Jehan Daruvala,Prema Racing,1:54.201,8
9,9,Frederik Vesti,ART Grand Prix,1:54.247,9
10,24,Jake Hughes,Van Amersfoort Racing,1:54.356,10
11,3,Jack Doohan,Virtuosi Racing,1:54.363,11
12,10,Théo Pourchaire,ART Grand Prix,1:54.440,12
13,17,Ayumu Iwasa,DAMS,1:54.483,13
14,16,Roy Nissany,DAMS,1:54.727,14
15,4,Marino Sato,Virtuosi Racing,1:54.732,15
16,22,Enzo Fittipaldi,Charouz Racing System,1:54.738,16
17,21,Calan Williams,Trident,1:55.010,17
18,15,Ralph Boschung,Campos Racing,1:55.140,18
19,25,Amaury Cordeel,Van Amersfoort Racing,1:55.321,19
20,12,Clément Novalak,MP Motorsport,1:55.456,20
21,23,Cem Bölükbaşı,Charouz Racing System,1:55.732,21
22,14,Olli Caldwell,Campos Racing,1:56.247,22
