Pos.,No.,Driver,Team,Time,Grid
1,11,Felipe Drugovich,MP Motorsport,1:20.713,1
2,3,Jack Doohan,Virtuosi Racing,1:20.939,2
3,6,Logan Sargeant,Carlin,1:21.241,3
4,20,Richard Verschoor,Trident,1:21.242,4
5,17,Ayumu Iwasa,DAMS,1:21.243,5
6,5,Liam Lawson,Carlin,1:21.281,6
7,1,Dennis Hauger,Prema Racing,1:21.347,7
8,8,Jüri Vips,Hitech Grand Prix,1:21.443,8
9,7,Marcus Armstrong,Hitech Grand Prix,1:21.454,9
10,12,Clément Novalak,MP Motorsport,1:21.559,10
11,9,Frederik Vesti,ART Grand Prix,1:21.580,11
12,25,Amaury Cordeel,Van Amersfoort Racing,1:21.619,12
13,22,Enzo Fittipaldi,Charouz Racing System,1:21.733,13
14,16,Roy Nissany,DAMS,1:21.738,14
15,4,Marino Sato,Virtuosi Racing,1:21.923,15
16,10,Théo Pourchaire,ART Grand Prix,1:21.984,16
17,2,Jehan Daruvala,Prema Racing,1:22.007,17
18,24,David Beckmann,Van Amersfoort Racing,1:22.075,18
19,14,Olli Caldwell,Campos Racing,1:22.084,19
20,21,Calan Williams,Trident,1:22.122,20
21,15,Ralph Boschung,Campos Racing,1:22.399,21
22,23,Tatiana Calderón,Charouz Racing System,1:23.113,22
