Pos.,No.,Driver,Team,Time,Grid
1,3,Jack Doohan,Virtuosi Racing,1:40.542,1
2,10,Théo Pourchaire,ART Grand Prix,1:40.683,2
3,8,Jüri Vips,Hitech Grand Prix,1:40.755,3
4,6,Logan Sargeant,Carlin,1:40.760,4
5,15,Ralph Boschung,Campos Racing,1:41.000,5
6,5,Liam Lawson,Carlin,1:41.100,6
7,2,Jehan Daruvala,Prema Racing,1:41.115,7
8,24,Jake Hughes,Van Amersfoort Racing,1:41.121,8
9,20,Richard Verschoor,Trident,1:41.178,9
10,11,Felipe Drugovich,MP Motorsport,1:41.210,10
11,16,Roy Nissany,DAMS,1:41.218,11
12,21,Calan Williams,Trident,1:41.313,12
13,7,Marcus Armstrong,Hitech Grand Prix,1:41.364,13
14,4,Marino Sato,Virtuosi Racing,1:41.374,14
15,1,Dennis Hauger,Prema Racing,1:41.509,15
16,22,Enzo Fittipaldi,Charouz Racing System,1:41.529,16
17,14,Olli Caldwell,Campos Racing,1:41.752,17
18,12,Clément Novalak,MP Motorsport,1:41.865,18
19,9,Frederik Vesti,ART Grand Prix,1:42.083,19
20,23,Cem Bölükbaşı,Charouz Racing System,1:42.089,20
21,25,Amaury Cordeel,Van Amersfoort Racing,1:42.880,21
—,17,Ayumu Iwasa,DAMS,No time set,22
