Pos.,No.,Driver,Team,Time,Grid
1,8,Jüri Vips,Hitech Grand Prix,1:40.221,1
2,17,Ayumu Iwasa,DAMS,1:40.221,2
3,3,Jack Doohan,Virtuosi Racing,1:40.221,3
4,15,Ralph Boschung,Campos Racing,1:40.221,4
5,1,Dennis Hauger,Prema Racing,1:40.221,5
6,16,Roy Nissany,DAMS,1:40.221,6
7,10,Théo Pourchaire,ART Grand Prix,1:40.221,7
8,2,Jehan Daruvala,Prema Racing,1:40.221,8
9,7,Marcus Armstrong,Hitech Grand Prix,1:40.221,9
10,6,Logan Sargeant,Carlin,1:40.221,10
11,23,David Beckmann,Charouz Racing System,1:40.221,11
12,11,Felipe Drugovich,MP Motorsport,1:40.221,12
13,12,Clément Novalak,MP Motorsport,1:40.221,13
14,5,Liam Lawson,Carlin,1:40.221,14
15,22,Enzo Fittipaldi,Charouz Racing System,1:40.221,15
16,9,Frederik Vesti,ART Grand Prix,1:40.221,16
17,24,Jake Hughes,Van Amersfoort Racing,1:40.221,17
18,25,Amaury Cordeel,Van Amersfoort Racing,1:40.221,18
19,20,Richard Verschoor,Trident,1:40.221,19
20,21,Calan Williams,Trident,1:40.221,20
21,14,Olli Caldwell,Campos Racing,1:40.221,21
22,4,Marino Sato,Virtuosi Racing,1:40.221,22
